Time_s,Porosity,frequency_Hz,k_dyn_abs,L_abs,sigma_abs,omega_t,sigma_f,C_molL,pH,case,Pe,Time_norm
0.1,0.545,100000.0,6.477169103410854e-13,2.8342705604017116e-09,0.005666903157082467,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,103487.34166350256,6.268285318824073e-13,2.785857419910231e-09,0.005666902149947149,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,107096.29884578515,6.066011056843282e-13,2.738265799726009e-09,0.005666901125420177,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,110831.11269550344,5.870142362334753e-13,2.6914818478802277e-09,0.0056669000832018784,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,114696.17226465745,5.680481388753279e-13,2.6454919386382408e-09,0.005666899022987455,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,118696.01966648553,5.496836220238528e-13,2.6002826694177337e-09,0.005666897944466892,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,122835.35541323408,5.319020698799635e-13,2.5558408576963548e-09,0.005666896847324873,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,127119.04394007126,5.146854256453298e-13,2.5121535379142197e-09,0.005666895731240687,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,131552.1193216395,4.980161752180882e-13,2.46920795837607e-09,0.005666894595888141,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,136139.79118796365,4.818773313571367e-13,2.4269915781574396e-09,0.005666893440935472,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,140887.4508466672,4.662524183018719e-13,2.3854920640187787e-09,0.005666892266045247,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
0.1,0.545,145800.67761868972,4.51125456834435e-13,2.344697287331041e-09,0.005666891070874274,24068.475044878887,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,6.983630370411755e-06
