Time_s,Time_norm,RE_abs,TTM_abs,RE_real,RE_imag,TTM_real,TTM_imag,case,Pe,RE_phase_rad,TTM_phase_rad
0.1,6.983630370411755e-06,1479561875.2726252,4.1757813991740067e-07,1478876215.753876,45038663.80946874,-7.907110365964766e-08,4.1002349140375056e-07,Pe0p1,0.1,0.030445244051247856,1.7613029988571507
0.2,1.396726074082351e-05,1479561875.2726252,4.1757813991740067e-07,1478876215.753876,45038663.80946874,-7.907110365964766e-08,4.1002349140375056e-07,Pe0p1,0.1,0.030445244051247856,1.7613029988571507
0.4,2.793452148164702e-05,1479562177.2531288,4.1743841765213764e-07,1478876513.9364321,45038793.11487565,-8.119161365733584e-08,4.094664264669796e-07,Pe0p1,0.1,0.030445325270305537,1.766543629250519
0.8,5.586904296329404e-05,1479562177.2531288,4.1743841765213764e-07,1478876513.9364321,45038793.11487565,-8.119161365733584e-08,4.094664264669796e-07,Pe0p1,0.1,0.030445325270305537,1.766543629250519
1.6,0.00011173808592658808,1479562340.9056044,4.1761094743661514e-07,1478876675.9152277,45038850.5625777,-7.877485907456174e-08,4.101139170970552e-07,Pe0p1,0.1,0.030445360747245374,1.7605654517019504
3.2,0.00022347617185317615,1479409268.669072,4.1758257979757257e-07,1478720744.779042,45130291.203067,-7.938448946505016e-08,4.0996745454092984e-07,Pe0p1,0.1,0.030510349464774548,1.7620653082712037
6.4,0.0004469523437063523,1477225285.5552242,4.166924529262585e-07,1476515977.640348,45772394.04358683,-8.016048276820107e-08,4.0890939990182557e-07,Pe0p1,0.1,0.030990345181731594,1.7643763276623867
12.8,0.0008939046874127046,1474554267.7480967,4.1532498763436333e-07,1473850337.0560129,45557353.89597202,-8.051737849145364e-08,4.0744545293124584e-07,Pe0p1,0.1,0.03090059535222372,1.7658976761668945
25.6,0.0017878093748254092,1470023414.5546083,4.136537780086272e-07,1469309408.9773614,45811570.91158105,-8.002717987938809e-08,4.0583875928915745e-07,Pe0p1,0.1,0.03116888408070428,1.765488117784351
51.2,0.0035756187496508184,1461211988.6621263,4.108608915532884e-07,1460419928.9506469,48105165.353769794,-8.194018985845897e-08,4.0260710065015337e-07,Pe0p1,0.1,0.032927364079128364,1.7715779982609412
