z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
-0.1,-100.0,R_E,0.1,100.0,1326060704100.6997,1326060704100.6997,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.099,-99.0,R_E,0.099,99.0,1326119815099.7988,1326119815099.7988,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.098,-98.0,R_E,0.098,98.0,1326173497872.8533,1326173497872.8533,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.097,-97.0,R_E,0.097,97.0,1326221406490.3545,1326221406490.3545,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.096,-96.0,R_E,0.096,96.0,1326263172736.052,1326263172736.052,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.095,-95.0,R_E,0.095,95.0,1326298404636.202,1326298404636.202,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.094,-94.0,R_E,0.094,94.0,1326326684888.946,1326326684888.946,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.093,-93.0,R_E,0.093,93.0,1326347569186.8384,1326347569186.8384,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.092,-92.0,R_E,0.092,92.0,1326360584425.073,1326360584425.073,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.091,-91.0,R_E,0.091,91.0,1326365226787.3804,1326365226787.3804,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.09,-90.0,R_E,0.09,90.0,1326360959701.0579,1326360959701.0579,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.089,-89.0,R_E,0.089,89.0,1326347211651.9514,1326347211651.9514,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.088,-88.0,R_E,0.088,88.0,1326323373849.5073,1326323373849.5073,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.087,-87.0,R_E,0.087,87.0,1326288797731.4182,1326288797731.4182,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.086,-86.0,R_E,0.086,86.0,1326242792296.5266,1326242792296.5266,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.08499999999999999,-84.99999999999999,R_E,0.08499999999999999,84.99999999999999,1326184621253.8884,1326184621253.8884,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.08399999999999999,-83.99999999999999,R_E,0.08399999999999999,83.99999999999999,1326113499975.0674,1326113499975.0674,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.08299999999999999,-82.99999999999999,R_E,0.08299999999999999,82.99999999999999,1326028592235.6882,1326028592235.6882,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.08199999999999999,-81.99999999999999,R_E,0.08199999999999999,81.99999999999999,1325929006731.462,1325929006731.462,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.08099999999999999,-80.99999999999999,R_E,0.08099999999999999,80.99999999999999,1325813793352.6704,1325813793352.6704,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07999999999999999,-79.99999999999999,R_E,0.07999999999999999,79.99999999999999,1325681939200.019,1325681939200.019,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.07899999999999999,-78.99999999999999,R_E,0.07899999999999999,78.99999999999999,1325532364323.59,1325532364323.59,5.783156647553642e-05,57.83156647553642,0.0,0.0
