component,metric,delta_log10_metric,sign,case,Pe,baseline_RE_abs
porosity,1.692714061966723e+16,-0.19391177493868175,negative,Pe0p1,0.1,1479561875.2726252
permeability,6005878750239011.0,-0.6439188168027942,negative,Pe0p1,0.1,1479561875.2726252
tortuosity,3.0997627012295412e+16,0.06883307119746812,positive,Pe0p1,0.1,1479561875.2726252
fluid_chemistry,1.1153697470346254e+16,-0.37507651635669803,negative,Pe0p1,0.1,1479561875.2726252
nonlinear_interaction_residual,,0.24457682810118575,positive,Pe0p1,0.1,1479561875.2726252
full_observed_change,3334250064112781.5,-0.8994972087995201,negative,Pe0p1,0.1,1479561875.2726252
porosity,1.5045254709662056e+16,-0.24509583779534508,negative,Pe1,1.0,1479561893.0749397
permeability,1819951955654179.0,-1.1624354590202246,negative,Pe1,1.0,1479561893.0749397
tortuosity,3.1477699365805104e+16,0.07550760088915642,positive,Pe1,1.0,1479561893.0749397
fluid_chemistry,43483267821785.21,-2.784173207939196,negative,Pe1,1.0,1479561893.0749397
nonlinear_interaction_residual,,0.2512580507088682,positive,Pe1,1.0,1479561893.0749397
full_observed_change,3610410048100.1304,-3.8649388531567412,negative,Pe1,1.0,1479561893.0749397
porosity,1.4463766131687908e+16,-0.2622139923091777,negative,Pe10,10.0,1479561890.1855907
permeability,1835679213010237.5,-1.1586985932287246,negative,Pe10,10.0,1479561890.1855907
tortuosity,3.1489212736810148e+16,0.0756664196775275,positive,Pe10,10.0,1479561890.1855907
fluid_chemistry,32028465998807.984,-2.9169592446219674,negative,Pe10,10.0,1479561890.1855907
nonlinear_interaction_residual,,0.26532169586041077,positive,Pe10,10.0,1479561890.1855907
full_observed_change,2664475116084.6826,-3.9968837146219314,negative,Pe10,10.0,1479561890.1855907
