case,Pe,Time_s,Time_norm,Porosity,RE_abs_f_low,RE_abs_f_high,RE_spectral_ratio_high_over_low,TTM_spectral_ratio_high_over_low,L_sigma_index,RE_abs,TTM_abs,RE_abs_norm,TTM_abs_norm,RE_spectral_ratio_high_over_low_norm,L_sigma_index_norm
Pe0p1,0.1,0.1,6.983630370411755e-06,0.545,707294230.275987,2804501127.126859,3.965112405953799,1.0687816725298813,2.2218912169231515e-07,1479561875.2726252,4.1757813991740067e-07,1.0,1.0,1.0,1.0
Pe0p1,0.1,0.2,1.396726074082351e-05,0.545,707294230.275987,2804501127.126859,3.965112405953799,1.0687816725298813,2.2218912169231515e-07,1479561875.2726252,4.1757813991740067e-07,1.0,1.0,1.0,1.0
Pe0p1,0.1,0.4,2.793452148164702e-05,0.545,707294375.0100144,2804501749.893323,3.965112475061907,1.0691316759012102,2.2218914450306692e-07,1479562177.2531288,4.1743841765213764e-07,1.000000204101301,0.9996653985160942,1.0000000174290413,1.000000102663675
Pe0p1,0.1,0.8,5.586904296329404e-05,0.545,707294375.0100144,2804501749.893323,3.965112475061907,1.0691316759012102,2.2218914450306692e-07,1479562177.2531288,4.1743841765213764e-07,1.000000204101301,0.9996653985160942,1.0000000174290413,1.000000102663675
Pe0p1,0.1,1.6,0.00011173808592658808,0.545,707294446.105104,2804502059.7928705,3.965112514648703,1.0693691363973796,2.2218915586143006e-07,1479562340.9056044,4.1761094743661514e-07,1.0000003147100416,1.0000785661797837,1.0000000274128178,1.0000001537839236
Pe0p1,0.1,3.2,0.00022347617185317615,0.5451,707220807.410502,2804219414.7083993,3.965125722157532,1.0686819325234511,2.2216475497762138e-07,1479409268.669072,4.1758257979757257e-07,0.9998968568965558,1.0000106324535398,1.0000033583420518,0.9998903334487838
Pe0p1,0.1,6.4,0.0004469523437063523,0.54545,706170099.4880027,2800152868.0962214,3.965266824701906,1.0694329754605507,2.2175446758498384e-07,1477225285.5552242,4.166924529262585e-07,0.9984207556598669,0.9978789910043726,1.0000389443557451,0.9980437651311606
Pe0p1,0.1,12.8,0.0008939046874127046,0.54565,704903714.8152452,2795039658.362853,3.9651367975772853,1.0692926933292786,2.2141661800677806e-07,1474554267.7480967,4.1532498763436333e-07,0.996615479481988,0.994604237943387,1.000006151559146,0.9965232155397471
Pe0p1,0.1,25.6,0.0017878093748254092,0.5465,702748787.5070297,2786429968.7915163,3.965044149953291,1.0687589583957289,2.208094864709052e-07,1470023414.5546083,4.136537780086272e-07,0.9935531856575722,0.9906020896842211,0.99998278585989,0.9937907166160886
Pe0p1,0.1,51.2,0.0035756187496508184,0.5486,698524446.5665927,2769937719.505625,3.9654127112093236,1.069710608383438,2.1933906262450356e-07,1461211988.6621263,4.108608915532884e-07,0.9875977565270004,0.9839137930796833,1.0000757368832909,0.9871728235563292
Pe0p1,0.1,102.4,0.007151237499301637,0.5527,692108260.414886,2744539909.5426655,3.9654777532888343,1.0690585569456361,2.1747539977716273e-07,1447758136.0135963,4.077467890177788e-07,0.9785046237061436,0.9764562606137223,1.0000921404736185,0.9787850913705851
Pe0p1,0.1,204.8,0.014302474998603274,0.56015,684336853.4219072,2714561554.149069,3.9667037374582077,1.0688473580329614,2.1480685890807458e-07,1431596779.4648988,4.0678796685269635e-07,0.9675815546417156,0.9741601103284797,1.000401333264101,0.9667748685083537
