panel,z_cm,r_cm,vpp_mv,series
z,-4.3,0.0,0.027,0-1 hours
z,-3.8,0.0,0.03,0-1 hours
z,-3.3,0.0,0.039,0-1 hours
z,-2.8,0.0,0.046,0-1 hours
z,-2.3,0.0,0.061,0-1 hours
z,-1.8,0.0,0.091,0-1 hours
z,-1.3,0.0,0.124,0-1 hours
z,-0.8,0.0,0.181,0-1 hours
z,-0.3,0.0,0.294,0-1 hours
z,-4.3,0.0,0.025,18-24 hours
z,-3.8,0.0,0.028,18-24 hours
z,-3.3,0.0,0.037,18-24 hours
z,-2.8,0.0,0.045,18-24 hours
z,-2.3,0.0,0.06,18-24 hours
z,-1.8,0.0,0.088,18-24 hours
z,-1.3,0.0,0.123,18-24 hours
z,-0.8,0.0,0.179,18-24 hours
z,-4.3,0.0,0.024,40-41 hours
z,-3.8,0.0,0.027,40-41 hours
z,-3.3,0.0,0.036,40-41 hours
z,-2.8,0.0,0.043,40-41 hours
z,-2.3,0.0,0.058,40-41 hours
z,-1.8,0.0,0.086,40-41 hours
z,-1.3,0.0,0.12,40-41 hours
z,-0.3,0.0,0.255,40-41 hours
r,-1.3,-2.0,0.086,0-1 hours
r,-1.3,-1.5,0.094,0-1 hours
r,-1.3,-1.0,0.12,0-1 hours
r,-1.3,-0.5,0.112,0-1 hours
r,-1.3,0.0,0.124,0-1 hours
r,-1.3,0.5,0.112,0-1 hours
r,-1.3,1.0,0.088,0-1 hours
r,-1.3,1.5,0.076,0-1 hours
r,-1.3,2.0,0.043,0-1 hours
r,-1.3,2.5,0.03,0-1 hours
r,-1.3,-2.5,0.06,18-24 hours
r,-1.3,-1.5,0.092,18-24 hours
r,-1.3,-1.0,0.108,18-24 hours
r,-1.3,-0.5,0.112,18-24 hours
r,-1.3,0.0,0.122,18-24 hours
r,-1.3,0.5,0.11,18-24 hours
r,-1.3,1.0,0.088,18-24 hours
r,-1.3,1.5,0.086,18-24 hours
r,-1.3,2.0,0.073,18-24 hours
r,-1.3,2.5,0.028,18-24 hours
