time_us,pressure_kpa,frequency_mhz,spectrum_mpa,source
0.0,-2.067296341704917,0.0,0.0,visual_digitization_fig4
0.009000000000000001,-2.243478868141876,0.0025,1.0863826145793362e-09,visual_digitization_fig4
0.018000000000000002,-2.4249423161532264,0.005,1.8223184041557782e-08,visual_digitization_fig4
0.027000000000000003,-2.611598341370623,0.0075,9.669752587521174e-08,visual_digitization_fig4
0.036000000000000004,-2.803343893712928,0.01,3.202574083118825e-07,visual_digitization_fig4
0.045000000000000005,-3.0000607978021807,0.0125,8.191594195540208e-07,visual_digitization_fig4
0.054000000000000006,-3.2016153513965584,0.015,1.779179295427997e-06,visual_digitization_fig4
0.063,-3.407857943590555,0.0175,3.451646940260036e-06,visual_digitization_fig4
0.07200000000000001,-3.618622694548276,0.02,6.164561711788088e-06,visual_digitization_fig4
0.08100000000000002,-3.833727118546739,0.0225,1.033483529311343e-05,visual_digitization_fig4
0.09000000000000001,-4.052971812112783,0.025,1.6481697880338978e-05,visual_digitization_fig4
0.099,-4.276140169038414,0.0275,2.524128823944443e-05,visual_digitization_fig4
0.10800000000000001,-4.502998124056154,0.03,3.738242895215117e-05,visual_digitization_fig4
0.11700000000000002,-4.733293926946922,0.0325,5.382356440182841e-05,visual_digitization_fig4
0.126,-4.966757948838883,0.035,7.565081029247904e-05,visual_digitization_fig4
0.135,-5.203102522435741,0.0375,0.00010413702933667631,visual_digitization_fig4
0.14400000000000002,-5.44202181788745,0.04,0.00014076180785721815,visual_digitization_fig4
0.15300000000000002,-5.683191755984837,0.0425,0.00018723216219668996,visual_digitization_fig4
0.16200000000000003,-5.926269960322224,0.045,0.0002455037519447225,visual_digitization_fig4
0.171,-6.170895750028537,0.0475,0.00031780231919736814,visual_digitization_fig4
0.18000000000000002,-6.416690174617916,0.05,0.0004066450097291734,visual_digitization_fig4
0.18900000000000003,-6.6632560924546596,0.0525,0.000514861163763763,visual_digitization_fig4
0.198,-6.910178294265259,0.055,0.0006456120920141161,visual_digitization_fig4
0.20700000000000002,-7.157023673061915,0.0575,0.0008024092782912256,visual_digitization_fig4
0.21600000000000003,-7.403341441766695,0.06,0.0009891303751874928,visual_digitization_fig4
0.22500000000000003,-7.648663399744721,0.0625,0.0012100322865886436,visual_digitization_fig4
0.23400000000000004,-7.892504249366971,0.065,0.0014697605630717154,visual_digitization_fig4
0.24300000000000002,-8.134361963629887,0.0675,0.0017733542771931668,visual_digitization_fig4
0.252,-8.373718205758696,0.07,0.0021262454994078702,visual_digitization_fig4
0.261,-8.610038801615834,0.0725,0.0025342524665493324,visual_digitization_fig4
0.27,-8.842774265623518,0.075,0.003003565528537863,visual_digitization_fig4
0.279,-9.071360380791996,0.0775,0.003540724980658032,visual_digitization_fig4
0.28800000000000003,-9.295218833321561,0.08,0.004152589943860242,visual_digitization_fig4
0.29700000000000004,-9.513757902117423,0.0825,0.004846297549455722,visual_digitization_fig4
0.30600000000000005,-9.726373203422442,0.085,0.005629211822202966,visual_digitization_fig4
0.31500000000000006,-9.932448490633433,0.08750000000000001,0.00650886184122137,visual_digitization_fig4
0.32400000000000007,-10.131356509223048,0.09,0.007492868994265318,visual_digitization_fig4
0.333,-10.32245990654035,0.0925,0.008588863428792035,visual_digitization_fig4
0.342,-10.505112196110936,0.095,0.009804390141902828,visual_digitization_fig4
0.35100000000000003,-10.678658775900619,0.0975,0.01114680553689556,visual_digitization_fig4
0.36000000000000004,-10.842437999846954,0.1,0.012623165699971642,visual_digitization_fig4
0.36900000000000005,-10.995782301799332,0.10250000000000001,0.014240108106247986,visual_digitization_fig4
0.37800000000000006,-11.138019370842857,0.105,0.01600372893555511,visual_digitization_fig4
0.38700000000000007,-11.268473376812437,0.1075,0.017919458647716786,visual_digitization_fig4
0.396,-11.386466244633949,0.11,0.019991938912655178,visual_digitization_fig4
0.405,-11.491318975957062,0.1125,0.02222490438818295,visual_digitization_fig4
0.41400000000000003,-11.582353016372247,0.115,0.024621073160800658,visual_digitization_fig4
0.42300000000000004,-11.658891666331021,0.11750000000000001,0.02718204988406855,visual_digitization_fig4
0.43200000000000005,-11.720261533715577,0.12,0.02990824573725606,visual_digitization_fig4
0.44100000000000006,-11.765794025831399,0.1225,0.03279881925809846,visual_digitization_fig4
0.45000000000000007,-11.794826878424841,0.125,0.03585164185576286,visual_digitization_fig4
0.4590000000000001,-11.80670571915794,0.1275,0.03906329136791481,visual_digitization_fig4
0.4680000000000001,-11.80078566280493,0.13,0.04242907638185527,visual_digitization_fig4
0.47700000000000004,-11.776432935269966,0.1325,0.04594309319724706,visual_digitization_fig4
0.48600000000000004,-11.733026523364007,0.135,0.04959831628221237,visual_digitization_fig4
0.49500000000000005,-11.66995984712084,0.1375,0.05338672189392406,visual_digitization_fig4
0.504,-11.586642451279028,0.14,0.05729944324100229,visual_digitization_fig4
0.513,-11.482501712408444,0.14250000000000002,0.06132695421253869,visual_digitization_fig4
0.522,-11.356984558017094,0.145,0.0654592773528026,visual_digitization_fig4
0.531,-11.209559193837853,0.1475,0.06968621049502216,visual_digitization_fig4
0.54,-11.039716835364901,0.15,0.07399756535941922,visual_digitization_fig4
0.549,-10.84697343958758,0.1525,0.07838341054624096,visual_digitization_fig4
0.558,-10.630871432754988,0.155,0.08283431078360015,visual_digitization_fig4
0.5670000000000001,-10.390981429898833,0.1575,0.08734155407974627,visual_digitization_fig4
0.5760000000000001,-10.12690394174528,0.16,0.09189735861914052,visual_digitization_fig4
0.5850000000000001,-9.838271064559414,0.1625,0.09649505184767061,visual_digitization_fig4
0.5940000000000001,-9.524748148388648,0.165,0.10112921520450248,visual_digitization_fig4
0.6030000000000001,-9.186035439105005,0.1675,0.105795789338384,visual_digitization_fig4
0.6120000000000001,-8.821869689590493,0.17,0.1104921363293606,visual_digitization_fig4
0.6210000000000001,-8.432025735365952,0.17250000000000001,0.1152170573330512,visual_digitization_fig4
0.6300000000000001,-8.016318029931579,0.17500000000000002,0.11997076606516259,visual_digitization_fig4
0.6390000000000001,-7.574602135067437,0.1775,0.1247548205284524,visual_digitization_fig4
0.6480000000000001,-7.1067761613353495,0.18,0.12957201722997058,visual_digitization_fig4
0.657,-6.612782154029359,0.1825,0.13442625372727512,visual_digitization_fig4
0.666,-6.0926074198412685,0.185,0.13932236657927893,visual_digitization_fig4
0.675,-5.54628578954066,0.1875,0.14426595258634184,visual_digitization_fig4
0.684,-4.973898812015445,0.19,0.14926318154265647,visual_digitization_fig4
0.6930000000000001,-4.375576875079821,0.1925,0.1543206085844867,visual_digitization_fig4
0.7020000000000001,-3.7515002485314115,0.195,0.1594449936286875,visual_digitization_fig4
0.7110000000000001,-3.1019000450287284,0.1975,0.16464313441811773,visual_digitization_fig4
0.7200000000000001,-2.427059094463648,0.2,0.16992171841185105,visual_digitization_fig4
0.7290000000000001,-1.7273127276217708,0.2025,0.17528719728463105,visual_digitization_fig4
0.7380000000000001,-1.0030494650560076,0.20500000000000002,0.18074568624641088,visual_digitization_fig4
0.7470000000000001,-0.25471160724560427,0.20750000000000002,0.18630288887174315,visual_digitization_fig4
0.7560000000000001,0.5172042777260908,0.21,0.1919640467412443,visual_digitization_fig4
0.7650000000000001,1.3121469725665957,0.2125,0.19773391202473573,visual_digitization_fig4
0.7740000000000001,2.1295103386443723,0.215,0.2036167402340906,visual_digitization_fig4
0.7830000000000001,2.968633156533644,0.2175,0.2096162997716801,visual_digitization_fig4
0.792,3.8287990822174547,0.22,0.2157358945984992,visual_digitization_fig4
0.801,4.709236721703412,0.2225,0.2219783963212659,visual_digitization_fig4
0.81,5.609119826564632,0.225,0.2283462822074861,visual_digitization_fig4
0.8190000000000001,6.527567612664796,0.2275,0.23484167602670708,visual_digitization_fig4
0.8280000000000001,7.463645204060287,0.23,0.24146638912421267,visual_digitization_fig4
0.8370000000000001,8.41636420379582,0.2325,0.24822195970050176,visual_digitization_fig4
0.8460000000000001,9.384683393022497,0.23500000000000001,0.2551096888424894,visual_digitization_fig4
0.8550000000000001,10.36750955956999,0.23750000000000002,0.26213067238717025,visual_digitization_fig4
0.8640000000000001,11.363698456797934,0.24,0.269285828164315,visual_digitization_fig4
0.8730000000000001,12.372055893236428,0.2425,0.2765759185432866,visual_digitization_fig4
0.8820000000000001,13.391338953202524,0.245,0.28400156849342467,visual_digitization_fig4
0.8910000000000001,14.420257348249647,0.2475,0.29156327956065736,visual_digitization_fig4
0.9000000000000001,15.457474898970567,0.25,0.299261440274968,visual_digitization_fig4
0.9090000000000001,16.501611146333044,0.2525,0.3070963335484134,visual_digitization_fig4
0.9180000000000001,17.551243091381203,0.255,0.3150681416176707,visual_digitization_fig4
0.9270000000000002,18.60490706178626,0.2575,0.32317694904442673,visual_digitization_fig4
0.9360000000000002,19.661100703378022,0.26,0.3314227442254799,visual_digitization_fig4
0.9450000000000001,20.718285094435,0.2625,0.3398054197937028,visual_digitization_fig4
0.9540000000000001,21.77488698015704,0.265,0.3483247722196693,visual_digitization_fig4
0.9630000000000001,22.82930112438976,0.2675,0.3569805008575302,visual_digitization_fig4
0.9720000000000001,23.87989277531909,0.27,0.36577220662096827,visual_digitization_fig4
0.9810000000000001,24.92500024150335,0.2725,0.37469939042714717,visual_digitization_fig4
0.9900000000000001,25.962937574264956,0.275,0.38376145150848723,visual_digitization_fig4
0.9990000000000001,26.99199735212212,0.2775,0.39295768566296735,visual_digitization_fig4
1.008,28.010453562605438,0.28,0.40228728349213544,visual_digitization_fig4
1.0170000000000001,29.016564576475712,0.28250000000000003,0.4117493286606336,visual_digitization_fig4
1.026,30.008576209037813,0.28500000000000003,0.42134279620038323,visual_digitization_fig4
1.0350000000000001,30.984724862934907,0.28750000000000003,0.4310665508754081,visual_digitization_fig4
1.044,31.94324074650406,0.29,0.44091934561858187,visual_digitization_fig4
1.0530000000000002,32.88235116148504,0.2925,0.4508998200486019,visual_digitization_fig4
1.062,33.80028385359444,0.295,0.4610064990736194,visual_digitization_fig4
1.0710000000000002,34.69527041921302,0.2975,0.47123779158683277,visual_digitization_fig4
1.08,35.565549761181686,0.3,0.48159198925864205,visual_digitization_fig4
1.0890000000000002,36.40937158646679,0.3025,0.4920672654295579,visual_digitization_fig4
1.098,37.22499993823375,0.305,0.5026616741077707,visual_digitization_fig4
1.1070000000000002,38.01071675466625,0.3075,0.5133731490751141,visual_digitization_fig4
1.116,38.76482544668109,0.31,0.5241995031050105,visual_digitization_fig4
1.1250000000000002,39.48565448652363,0.3125,0.5351384272958531,visual_digitization_fig4
1.1340000000000001,40.171560999078885,0.315,0.5461874905231834,visual_digitization_fig4
1.1430000000000002,40.82093434760764,0.3175,0.5573441390138824,visual_digitization_fig4
1.1520000000000001,41.432199705508374,0.32,0.5686056960454867,visual_digitization_fig4
1.161,42.00382160562067,0.3225,0.579969361773607,visual_digitization_fig4
1.1700000000000002,42.534307458521724,0.325,0.5914322131902908,visual_digitization_fig4
1.179,43.02221103122544,0.3275,0.6029912042160303,visual_digitization_fig4
1.1880000000000002,43.46613587767517,0.33,0.614643165927964,visual_digitization_fig4
1.197,43.86473871242448,0.3325,0.6263848069266676,visual_digitization_fig4
1.2060000000000002,44.216732718928554,0.335,0.6382127138437567,visual_digitization_fig4
1.215,44.52089078391888,0.3375,0.6501233519923586,visual_digitization_fig4
1.2240000000000002,44.77604864940952,0.34,0.6621130661623356,visual_digitization_fig4
1.233,44.98110797398122,0.3425,0.6741780815619387,visual_digitization_fig4
1.2420000000000002,45.135039295111945,0.34500000000000003,0.6863145049074049,visual_digitization_fig4
1.2510000000000001,45.23688488446907,0.34750000000000003,0.6985183256617867,visual_digitization_fig4
1.2600000000000002,45.28576148824768,0.35000000000000003,0.7107854174241198,visual_digitization_fig4
1.2690000000000001,45.280862944832805,0.3525,0.7231115394698111,visual_digitization_fig4
1.2780000000000002,45.221462672279856,0.355,0.7354923384429198,visual_digitization_fig4
1.2870000000000001,45.10691601834629,0.3575,0.7479233502007856,visual_digitization_fig4
1.2960000000000003,44.936662466069194,0.36,0.760400001811226,visual_digitization_fig4
1.3050000000000002,44.71022768816656,0.3625,0.772917613702311,visual_digitization_fig4
1.314,44.42722544384431,0.365,0.7854714019644659,visual_digitization_fig4
1.3230000000000002,44.08735931191664,0.3675,0.7980564808044451,visual_digitization_fig4
1.332,43.69042425449164,0.37,0.8106678651504565,visual_digitization_fig4
1.3410000000000002,43.23630800583814,0.3725,0.8233004734074879,visual_digitization_fig4
1.35,42.72499228143246,0.375,0.8359491303616343,visual_digitization_fig4
1.3590000000000002,42.15655380258245,0.3775,0.8486085702319863,visual_digitization_fig4
1.368,41.53116513244244,0.38,0.8612734398683822,visual_digitization_fig4
1.3770000000000002,40.849095319663476,0.3825,0.8739383020930883,visual_digitization_fig4
1.3860000000000001,40.11071034636869,0.385,0.8865976391842114,visual_digitization_fig4
1.3950000000000002,39.316473377601476,0.3875,0.8992458564984113,visual_digitization_fig4
1.4040000000000001,38.46694480986433,0.39,0.9118772862302186,visual_digitization_fig4
1.4130000000000003,37.56278211684648,0.3925,0.9244861913050283,visual_digitization_fig4
1.4220000000000002,36.604739490928765,0.395,0.937066769402583,visual_digitization_fig4
1.4310000000000003,35.59366727955106,0.3975,0.9496131571075236,visual_digitization_fig4
1.4400000000000002,34.53051121603269,0.4,0.9621194341833389,visual_digitization_fig4
1.449,33.41631144494474,0.4025,0.9745796279658087,visual_digitization_fig4
1.4580000000000002,32.25220134264719,0.405,0.9869877178717993,visual_digitization_fig4
1.467,31.0394061341189,0.40750000000000003,0.999337640019043,visual_digitization_fig4
1.4760000000000002,29.779241307723918,0.41000000000000003,1.011623291952298,visual_digitization_fig4
1.485,28.473110830074873,0.41250000000000003,1.0238385374710777,visual_digitization_fig4
1.4940000000000002,27.122505163665608,0.41500000000000004,1.035977211553906,visual_digitization_fig4
1.5030000000000001,25.728999090457254,0.4175,1.0480331253738615,visual_digitization_fig4
1.5120000000000002,24.294249345104095,0.42,1.0600000713999613,visual_digitization_fig4
1.5210000000000001,22.81999206200661,0.4225,1.0718718285787328,visual_digitization_fig4
1.5300000000000002,21.308040040865922,0.425,1.0836421675901589,visual_digitization_fig4
1.5390000000000001,19.760279835898025,0.4275,1.0953048561719618,visual_digitization_fig4
1.5480000000000003,18.178668674331906,0.43,1.1068536645060605,visual_digitization_fig4
1.5570000000000002,16.56523121027685,0.4325,1.118282370660837,visual_digitization_fig4
1.5660000000000003,14.92205612048406,0.435,1.1295847660827183,visual_digitization_fig4
1.5750000000000002,13.25129254896004,0.4375,1.1407546611304222,visual_digitization_fig4
1.584,11.5551464077974,0.44,1.1517858906450862,visual_digitization_fig4
1.5930000000000002,9.835876541987004,0.4425,1.1626723195493696,visual_digitization_fig4
1.602,8.095790766348713,0.445,1.1734078484685133,visual_digitization_fig4
1.6110000000000002,6.337241783074516,0.4475,1.1839864193662317,visual_digitization_fig4
1.62,4.562622988713498,0.45,1.1944020211882211,visual_digitization_fig4
1.6290000000000002,2.7743641797388987,0.4525,1.2046486955059945,visual_digitization_fig4
1.6380000000000001,0.974927166129644,0.455,1.2147205421536835,visual_digitization_fig4
1.6470000000000002,-0.833198697338084,0.4575,1.2246117248503812,visual_digitization_fig4
1.6560000000000001,-2.647501052150392,0.46,1.2343164768005812,visual_digitization_fig4
1.6650000000000003,-4.465449139314447,0.4625,1.2438291062652087,visual_digitization_fig4
1.6740000000000002,-6.284498454472872,0.465,1.2531440020957447,visual_digitization_fig4
1.6830000000000003,-8.102095444370374,0.4675,1.2622556392239288,visual_digitization_fig4
1.6920000000000002,-9.915682234031875,0.47000000000000003,1.2711585840995332,visual_digitization_fig4
1.7010000000000003,-11.72270137390659,0.47250000000000003,1.2798475000687264,visual_digitization_fig4
1.7100000000000002,-13.520600596150876,0.47500000000000003,1.2883171526855772,visual_digitization_fig4
1.7190000000000003,-15.306837569174728,0.47750000000000004,1.2965624149492967,visual_digitization_fig4
1.7280000000000002,-17.078884639552307,0.48,1.3045782724598756,visual_digitization_fig4
1.737,-18.83423355040612,0.4825,1.3123598284848494,visual_digitization_fig4
1.7460000000000002,-20.570400125407538,0.485,1.3199023089300104,visual_digitization_fig4
1.7550000000000001,-22.284928907602378,0.4875,1.3272010672069823,visual_digitization_fig4
