panel,z_cm,r_cm,dipole_vpp_mv
z,-4.4,0.0,0.011353017745406774
z,-4.377374301675978,0.0,0.011470683628818493
z,-4.354748603351956,0.0,0.011590188320748034
z,-4.3321229050279335,0.0,0.011711570336062608
z,-4.309497206703911,0.0,0.011834869203329369
z,-4.286871508379889,0.0,0.01196012549700111
z,-4.264245810055867,0.0,0.01208738087080052
z,-4.2416201117318435,0.0,0.012216678092354325
z,-4.218994413407821,0.0,0.012348061079131022
z,-4.196368715083799,0.0,0.012481574935738666
z,-4.173743016759777,0.0,0.01261726599264177
z,-4.151117318435754,0.0,0.012755181846359402
z,-4.128491620111732,0.0,0.01289537140120962
z,-4.10586592178771,0.0,0.013037884912668553
z,-4.0832402234636875,0.0,0.01318277403241591
z,-4.060614525139665,0.0,0.013330091855142365
z,-4.037988826815643,0.0,0.013479892967197907
z,-4.015363128491621,0.0,0.013632233497164461
z,-3.992737430167598,0.0,0.01378717116844023
z,-3.9701117318435757,0.0,0.013944765353927717
z,-3.9474860335195534,0.0,0.01410507713292222
z,-3.924860335195531,0.0,0.014268169350302487
z,-3.9022346368715084,0.0,0.014434106678130713
z,-3.879608938547486,0.0,0.014602955679774536
z,-3.856983240223464,0.0,0.014774784876669814
z,-3.8343575418994416,0.0,0.01494966481784913
z,-3.8117318435754193,0.0,0.015127668152367794
z,-3.789106145251397,0.0,0.01530886970476616
z,-3.7664804469273747,0.0,0.015493346553714605
z,-3.7438547486033524,0.0,0.015681178113995498
z,-3.7212290502793297,0.0,0.01587244622198498
z,-3.6986033519553074,0.0,0.016067235224806343
z,-3.675977653631285,0.0,0.01626563207333635
z,-3.653351955307263,0.0,0.016467726419256007
z,-3.6307262569832406,0.0,0.016673610716347972
z,-3.608100558659218,0.0,0.016883380326254378
z,-3.5854748603351956,0.0,0.01709713362892092
z,-3.5628491620111733,0.0,0.017314972137966053
z,-3.540223463687151,0.0,0.017537000621227844
z,-3.5175977653631287,0.0,0.017763327226755894
z,-3.4949720670391065,0.0,0.01799406361453107
z,-3.472346368715084,0.0,0.018229325094212757
z,-3.449720670391062,0.0,0.01846923076923077
