frequency_hz,frequency_mhz,spectrum_unscaled_mv,field_response_abs_v_per_hz,spectrum_display_mv,z_m,r_m,salinity_key,note
144243.8271604916,0.1442438271604916,0.01515073427034277,1.1459125951483574e-09,11.656935684124745,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
155339.5061728371,0.1553395061728371,0.03016038113882478,1.2662348528904749e-09,12.880928531229245,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
166435.18518518264,0.16643518518518263,0.030885785043404747,1.4597163461104326e-09,14.849142627210506,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
177530.86419752814,0.17753086419752814,0.02714000971352721,1.1789340507032386e-09,11.99285046962337,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
188626.54320987363,0.18862654320987363,0.028780372410708018,1.4197283700670614e-09,14.44236006207468,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
199722.22222221916,0.19972222222221916,0.031973547532993786,1.5387261890873149e-09,15.652879894689507,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
210817.90123456466,0.21081790123456468,0.04026220238998757,1.7838165230012027e-09,18.146091219297524,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
221913.58024691016,0.22191358024691016,0.04420506315622016,1.9955337579788394e-09,20.29981062320679,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
233009.2592592557,0.2330092592592557,0.042681237344066064,1.906435041294985e-09,19.39344305702494,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
244104.9382716012,0.24410493827160118,0.04014332857570615,1.9087439562044276e-09,19.416930775646275,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
255200.6172839467,0.25520061728394666,0.042491769218129485,1.8943142543663725e-09,19.27014287316622,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
266296.2962962922,0.2662962962962922,0.051713341104992025,2.326110692934237e-09,23.66264482691956,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
277391.9753086377,0.27739197530863774,0.05406526344701771,2.4096231427483925e-09,24.512185411802708,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
288487.6543209832,0.2884876543209832,0.048924373898864164,2.3412187128898363e-09,23.816333003210254,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
299583.3333333287,0.2995833333333287,0.03690992512450703,1.7409626988121089e-09,17.710155464244252,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
310679.0123456742,0.3106790123456742,0.0534051074697301,2.3361051673085796e-09,23.7643148368938,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
321774.6913580198,0.3217746913580198,0.05389404042300615,2.4486882196073408e-09,24.909579672384336,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
332870.3703703653,0.33287037037036526,0.04775672011341541,2.136439028366841e-09,21.733186677734306,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
343966.0493827108,0.34396604938271075,0.04050541449551088,1.874261006006742e-09,19.066148757580354,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
355061.72839505627,0.3550617283950563,0.04976662638310733,2.232213980476739e-09,22.707469063338653,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
366157.40740740177,0.36615740740740177,0.054514012171073795,2.4523466778358674e-09,24.946795785073515,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
377253.08641974727,0.37725308641974725,0.058950525705217326,2.66246348180436e-09,27.084234609277605,-0.003,0.0,1e-3,Unscaled FFT amplitude is retained; display column uses the frequency-domain reflected-potential shape normalized to the published Fig. 6(b) axis.
