name,value,source
K_s,49900000000.0,Geophysics 2011 Table 1/text
K_f,2200000000.0,Geophysics 2011 Table 1/text
eta,0.001,Geophysics 2011 Table 1/text
rho_f,998.0,Geophysics 2011 Table 1/text
Lambda,1.229e-05,Geophysics 2011 Table 1/text
eps_f,80.1,Geophysics 2011 Table 1/text
eps_s,4.0,Geophysics 2011 Table 1/text
mu,1.2566370614359173e-06,Geophysics 2011 Table 1/text
K_b,6600000000.0,Geophysics 2011 Table 1/text
G,5500000000.0,Geophysics 2011 Table 1/text
phi,0.345,Geophysics 2011 Table 1/text
rho_s,2212.0,Geophysics 2011 Table 1/text
k0_m2,3.1e-12,Geophysics 2011 Table 1/text
alpha_inf,2.1,Geophysics 2011 Table 1/text
temperature_k,293.15,Geophysics 2011 Table 1/text
source_z_m,-0.15,Geophysics 2011 Table 1/text
transducer_radius_m,0.0142875,Geophysics 2011 Table 1/text
bandpass_low_hz,144000.0,Geophysics 2011 Table 1/text
bandpass_high_hz,896000.0,Geophysics 2011 Table 1/text
cP_m_s,1484.725165690698,Geophysics 2011 Table 1/text
forward_source_kind,ricker,"User-requested modeling assumption: causal Ricker replacement for unavailable measured source; ricker_source_amplitude is a global source-amplitude assumption, not a paper parameter"
ricker_peak_frequency_hz,500000.0,"User-requested modeling assumption: causal Ricker replacement for unavailable measured source; ricker_source_amplitude is a global source-amplitude assumption, not a paper parameter"
ricker_peak_cycles,2.0,"User-requested modeling assumption: causal Ricker replacement for unavailable measured source; ricker_source_amplitude is a global source-amplitude assumption, not a paper parameter"
ricker_duration_cycles,8.0,"User-requested modeling assumption: causal Ricker replacement for unavailable measured source; ricker_source_amplitude is a global source-amplitude assumption, not a paper parameter"
ricker_source_amplitude,0.03,"User-requested modeling assumption: causal Ricker replacement for unavailable measured source; ricker_source_amplitude is a global source-amplitude assumption, not a paper parameter"
source_spectrum_calibration_from_fig4,31.46368012969256,Diagnostic only: Fig. 4(a) digitized FFT versus Fig. 4(b) displayed spectrum peak; not applied to EM model
sommerfeld_default_integration_method,adaptive,Adaptive quadrature over the Schakel 2011 Sommerfeld path; fixed grid retained for convergence diagnostics
1e-4_concentration_mol_l,0.0001,Geophysics 2011 Table 2
1e-4_conductivity_s_m,0.00127,Geophysics 2011 Table 2
1e-4_zeta_v,-0.0517,Geophysics 2011 Table 2
1e-4_amplitude_scale,0.03,Geophysics 2011 Table 2
1e-3_concentration_mol_l,0.001,Geophysics 2011 Table 2
1e-3_conductivity_s_m,0.012,Geophysics 2011 Table 2
1e-3_zeta_v,-0.0615,Geophysics 2011 Table 2
1e-3_amplitude_scale,0.19,Geophysics 2011 Table 2
1e-2_concentration_mol_l,0.01,Geophysics 2011 Table 2
1e-2_conductivity_s_m,0.101,Geophysics 2011 Table 2
1e-2_zeta_v,-0.0581,Geophysics 2011 Table 2
1e-2_amplitude_scale,0.41,Geophysics 2011 Table 2
