figure,panel,coordinate_name,coordinate_value,paper_digitized_mv,model_display_mv,residual_mv,display_note
Fig6,a_waveform,time_ms,0.05,-2.6387777749459935e-32,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.05025,-4.988809715547956e-32,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.0505,-9.249582476589287e-32,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.05075,-1.6799576625704154e-31,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.051000000000000004,-2.9834616206659783e-31,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.051250000000000004,-5.165656645621468e-31,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.051500000000000004,-8.680494748515574e-31,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.051750000000000004,-1.4054490996915307e-30,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.052000000000000005,-2.1653911285224287e-30,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.052250000000000005,-3.1008486440269688e-30,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.052500000000000005,-3.913613742873866e-30,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.052750000000000005,-3.673497221872818e-30,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.053000000000000005,4.400018417932185e-43,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.053250000000000006,1.262541733750257e-29,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.053500000000000006,4.6228522630321205e-29,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
Fig6,a_waveform,time_ms,0.053750000000000006,1.258863522755424e-28,-0.01440892152489843,-0.01440892152489843,Model display column is normalized to the Fig. 6(a) printed mV axis; model_unscaled_mv remains in model_waveform_fig6.csv.
