position,medium,z_m,r_m,time_ms,model_mv,raw_model_mv
1,fluid,-0.023,0.0,0.055,0.0,-1.3646217690713147e-05
1,fluid,-0.023,0.0,0.05512517385257302,0.0,-1.3612963649705408e-05
1,fluid,-0.023,0.0,0.05525034770514604,0.0,-1.1068166784775506e-05
1,fluid,-0.023,0.0,0.055375521557719055,0.0,-6.536559423536673e-06
1,fluid,-0.023,0.0,0.055500695410292074,0.0,-1.5076495193714931e-06
1,fluid,-0.023,0.0,0.05562586926286509,0.0,1.9508032302824475e-06
1,fluid,-0.023,0.0,0.05575104311543811,0.0,1.9026117062618193e-06
1,fluid,-0.023,0.0,0.05587621696801113,0.0,-2.679187847199736e-06
1,fluid,-0.023,0.0,0.05600139082058415,0.0,-1.1381742949865367e-05
1,fluid,-0.023,0.0,0.05612656467315716,0.0,-2.2310889661733194e-05
1,fluid,-0.023,0.0,0.056251738525730184,0.0,-3.2598021164297916e-05
1,fluid,-0.023,0.0,0.0563769123783032,0.0,-3.929436509579542e-05
1,fluid,-0.023,0.0,0.05650208623087622,0.0,-4.032703142957437e-05
1,fluid,-0.023,0.0,0.05662726008344923,0.0,-3.5155239222241915e-05
1,fluid,-0.023,0.0,0.05675243393602226,0.0,-2.4878058452774486e-05
1,fluid,-0.023,0.0,0.056877607788595276,0.0,-1.176298524062841e-05
1,fluid,-0.023,0.0,0.05700278164116829,0.0,1.60295725847572e-06
1,fluid,-0.023,0.0,0.057127955493741306,0.0,1.3190092500570982e-05
1,fluid,-0.023,0.0,0.05725312934631433,0.0,2.2082086652612633e-05
1,fluid,-0.023,0.0,0.05737830319888735,0.0,2.8511221638818594e-05
1,fluid,-0.023,0.0,0.05750347705146036,0.0,3.3405270656827614e-05
1,fluid,-0.023,0.0,0.05762865090403338,0.0,3.7691238141838486e-05
1,fluid,-0.023,0.0,0.057753824756606405,0.0,4.1700396341047964e-05
1,fluid,-0.023,0.0,0.057878998609179416,0.0,4.4960177279795976e-05
1,fluid,-0.023,0.0,0.058004172461752435,0.0,4.6468120987912786e-05
1,fluid,-0.023,0.0,0.05812934631432545,0.0,4.5307696084155206e-05
1,fluid,-0.023,0.0,0.05825452016689847,0.0,4.129359588817978e-05
1,fluid,-0.023,0.0,0.05837969401947149,0.0,3.530631357524489e-05
1,fluid,-0.023,0.0,0.05850486787204451,0.0,2.9109239142381376e-05
1,fluid,-0.023,0.0,0.058630041724617526,0.0,2.4679532242969406e-05
1,fluid,-0.023,0.0,0.05875521557719054,0.0,2.332042221909476e-05
1,fluid,-0.023,0.0,0.05888038942976356,0.0,2.494853839977626e-05
1,fluid,-0.023,0.0,0.05900556328233658,0.0,2.7903018451556594e-05
1,fluid,-0.023,0.0,0.0591307371349096,0.0,2.9416904226278618e-05
1,fluid,-0.023,0.0,0.05925591098748261,0.0,2.6610908908838927e-05
1,fluid,-0.023,0.0,0.05938108484005564,0.0,1.7635844202447646e-05
1,fluid,-0.023,0.0,0.059506258692628655,0.0,2.5065752101806204e-06
1,fluid,-0.023,0.0,0.05963143254520167,0.0,-1.6722061983373797e-05
1,fluid,-0.023,0.0,0.059756606397774685,0.0,-3.6529804451117084e-05
1,fluid,-0.023,0.0,0.05988178025034771,0.0,-5.304821227698054e-05
1,fluid,-0.023,0.0,0.06000695410292073,0.0,-6.329571975000474e-05
1,fluid,-0.023,0.0,0.06013212795549374,0.0,-6.60626952472937e-05
1,fluid,-0.023,0.0,0.06025730180806676,0.0,-6.212711273484828e-05
1,fluid,-0.023,0.0,0.060382475660639784,0.0,-5.375683686128124e-05
1,fluid,-0.023,0.0,0.060507649513212795,0.0,-4.373953099970462e-05
1,fluid,-0.023,0.0,0.060632823365785814,0.0,-3.4356297617970905e-05
1,fluid,-0.023,0.0,0.06075799721835883,0.0,-2.671009539950779e-05
1,fluid,-0.023,0.0,0.06088317107093186,0.0,-2.064310415990031e-05
1,fluid,-0.023,0.0,0.06100834492350487,0.0,-1.5210306172189318e-05
1,fluid,-0.023,0.0,0.061133518776077894,0.0,-9.437848995861037e-06
1,fluid,-0.023,0.0,0.0612586926286509,0.0,-2.9868166283501068e-06
1,fluid,-0.023,0.0,0.061383866481223924,0.0,3.591467462838012e-06
1,fluid,-0.023,0.0,0.06150904033379694,0.0,9.117972898069344e-06
1,fluid,-0.023,0.0,0.06163421418636996,0.0,1.242687996117441e-05
1,fluid,-0.023,0.0,0.06175938803894298,0.0,1.306451459349642e-05
1,fluid,-0.023,0.0,0.061884561891516,0.0,1.1693122969289843e-05
1,fluid,-0.023,0.0,0.06200973574408902,0.0,9.975289705435223e-06
1,fluid,-0.023,0.0,0.06213490959666203,0.0,9.947904337716393e-06
1,fluid,-0.023,0.0,0.062260083449235046,0.0,1.3129013501050398e-05
1,fluid,-0.023,0.0,0.062385257301808064,0.0,1.97339745655534e-05
1,fluid,-0.023,0.0,0.06251043115438108,0.0,2.8350662284896532e-05
1,fluid,-0.023,0.0,0.0626356050069541,0.0,3.6247223473710105e-05
1,fluid,-0.023,0.0,0.06276077885952713,0.0,4.023322286346118e-05
1,fluid,-0.023,0.0,0.06288595271210015,0.0,3.777026306859852e-05
1,fluid,-0.023,0.0,0.06301112656467316,0.0,2.7922634320736756e-05
1,fluid,-0.023,0.0,0.06313630041724617,0.0,1.1793436761273836e-05
1,fluid,-0.023,0.0,0.06326147426981919,0.0,-7.717258847590956e-06
1,fluid,-0.023,0.0,0.06338664812239221,0.0,-2.674574207575725e-05
1,fluid,-0.023,0.0,0.06351182197496523,0.0,-4.159200716622554e-05
1,fluid,-0.023,0.0,0.06363699582753825,0.0,-4.9749960734165455e-05
1,fluid,-0.023,0.0,0.06376216968011128,0.0,-5.050261140784968e-05
1,fluid,-0.023,0.0,0.06388734353268428,0.0,-4.4916744414268205e-05
1,fluid,-0.023,0.0,0.0640125173852573,0.0,-3.529214976515666e-05
1,fluid,-0.023,0.0,0.06413769123783032,0.0,-2.430505338924668e-05
1,fluid,-0.023,0.0,0.06426286509040334,0.0,-1.4169212075601078e-05
1,fluid,-0.023,0.0,0.06438803894297636,0.0,-6.098425665738973e-06
1,fluid,-0.023,0.0,0.06451321279554938,0.0,-2.153443164655408e-07
1,fluid,-0.023,0.0,0.0646383866481224,0.0,4.127859553980956e-06
1,fluid,-0.023,0.0,0.06476356050069541,0.0,7.802093692635385e-06
1,fluid,-0.023,0.0,0.06488873435326843,0.0,1.1380814152055761e-05
1,fluid,-0.023,0.0,0.06501390820584145,0.0,1.48659401094825e-05
1,fluid,-0.023,0.0,0.06513908205841447,0.0,1.7761586946575396e-05
1,fluid,-0.023,0.0,0.06526425591098749,0.0,1.9442803867602337e-05
1,fluid,-0.023,0.0,0.0653894297635605,0.0,1.9636378445838086e-05
1,fluid,-0.023,0.0,0.06551460361613352,0.0,1.877521601329629e-05
1,fluid,-0.023,0.0,0.06563977746870653,0.0,1.8030083967594784e-05
1,fluid,-0.023,0.0,0.06576495132127955,0.0,1.89499910369778e-05
1,fluid,-0.023,0.0,0.06589012517385258,0.0,2.2809768038334867e-05
1,fluid,-0.023,0.0,0.0660152990264256,0.0,2.990690324075147e-05
