parameter,value
K_s,49900000000.0
K_f,2200000000.0
eta,0.001
rho_f,998.0
eps_f,80.1
eps_s,4.0
mu0,1.2566370614359173e-06
Lambda,9.43e-06
K_b,930000000.0
G,880000000.0
phi,0.52
rho_s,2570.0
k0_m2,3.4e-12
alpha_inf,1.7
sigma_f_s_m,0.048
zeta_v,-0.04
sample_width_m,0.0321
source_z_m,-0.15
transducer_radius_m,0.0142875
temperature_k,293.15
bandpass_low_hz,144000.0
bandpass_high_hz,896000.0
M_similarity_computed_from_TableII_Lambda,0.9999794986902087
C_molL_equivalent_for_pH6_zeta_minus_0p04,0.003981071705534973
