,0
input,C:\Users\imgw\Documents\MATLAB\RTSPHEM-main\T2single-RI\dissolution_results-Da_0.0369_Pe_0.1000_L_0.0010_lengthXAxis_0.060000_lengthYAxis_0.040000_random\global_evolution.xlsx
outdir,se_results_offset
snapshot_index,24
snapshot_Time_s,5769.2
snapshot_Porosity,0.75115
snapshot_Amax,3645332135658185.0
T0_us,53.692484417121946
waveform_mode,spectral
pre_T0_max_abs,25741828742020.938
post_T0_max_abs,3645332135658185.0
RE_peak_distance_from_interface_mm,36.99999999999995
TE_peak_distance_from_interface_mm,37.000000000000114
liu_dipole_reference_peak_distance_mm,31.819805153394636
spectral_n_omega,48
spectral_n_k,401
peak_spectral_n_omega,24
peak_spectral_n_k,101
spectral_f_min_factor,0.25
spectral_f_max_factor,2.5
source_beam_theta_deg,0.0
source_kb_m_inv,80.0
source_peak_cycles,2.0
source_duration_cycles,8.0
