Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.434171818397,1.858123346338378e-11,1.2186342353756738,0.0,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.475757911925,1.8231428548550947e-05,1.2591082677578816e-09,0.005666831209192366,1478876230.552847,45038667.77961397,1479561890.1855912,-8.081447700658521e-08,4.095584626777637e-07,4.17455523433121e-07,1.4118756370379193e+27,1.0,1.0,1.0,1.0,1.0381451328036416e+16,1.0259332420309122e+16,1.0381451328036416e+16,1.0,1.0,1.0
0.2,0.0033333333333333335,0.54505,0.54505,True,19137.451143298018,1.8887196435932454e-11,1.2158456257877204,4.413152322612699e-07,,,0.0004413152322612699,3.355251082358269,0.00144131523226127,-0.016542472697563183,3141592.653589793,45.0,23735.064163254367,1.8359032407226528e-05,3.1962267773400574e-10,0.008167575955187906,307877101.4516944,27211136.988421034,309077264.7324606,-6.773907630674187e-09,1.579643727685356e-08,1.718759015192283e-08,4.5615686127036465e+27,0.20889782764929896,0.04117226671376499,0.2538484464907565,1.4412950825037798,2015735049470487.5,2015735049470487.5,1716667843641377.8,0.194166979719564,0.1964781885301024,0.16535913808171504
0.4,0.006666666666666667,0.54605,0.54605,True,19232.110023392655,1.8980617490249757e-11,1.215773261787715,1.4094054154499476e-06,,,0.0014094054154499475,2.850964064117656,0.0024094054154499478,-0.009437574906367416,3141592.653589793,45.0,23662.982717812494,1.8386973503178484e-05,1.8283002831275272e-10,0.013678813575962191,124843786.91232012,20490996.644279867,126514236.64586006,-2.281737570614175e-09,1.959465825103096e-09,3.0076290763488826e-09,5.700995564295267e+27,0.0855079043905291,0.007204669497757223,0.14520596281868728,2.4138381876935573,778835535344243.4,778835535344243.4,515368043638373.75,0.07502183565036807,0.07591483572580997,0.049643159453684235
0.8,0.013333333333333334,0.54845,0.54845,True,19800.98422728323,1.9542052696838316e-11,1.2148964089654521,3.0367944292067077e-06,,,0.0030367944292067077,2.517584605935825,0.004036794429206708,-0.005160223715607219,3141592.653589793,45.0,23100.831503397512,1.8609349281607768e-05,9.945349232791643e-11,0.023035321675706228,45039908.492377065,10303182.874900902,46203343.32443217,-3.8871474998695625e-10,3.2002823419267935e-10,5.035049429130823e-10,6.852721159772353e+27,0.03122771925318824,0.0012061283529615269,0.07898724428600186,4.064938733015344,278586792927224.06,278586792927224.06,141609297948921.38,0.026835052645757283,0.027154475702116886,0.013640607028276254
1.6,0.02666666666666667,0.5531,0.5531,True,21538.406674345857,2.125675539178744e-11,1.2143814472210006,4.082445707572463e-06,,,0.004082445707572463,2.389079582233297,0.005082445707572463,-0.0036844421198403273,3141592.653589793,45.0,21426.516014964607,1.9322762396746936e-05,6.904292861854816e-11,0.029260569542139982,25435169.724279206,6513279.641211548,26255869.259796187,-2.7378306556417405e-10,-1.6873589355252189e-10,3.2160374494505633e-10,4.716513652862068e+27,0.01774570528881542,0.0007703904413581899,0.05483478298613211,5.163479987664955,158006605043241.0,158006605043241.0,71172713223441.88,0.015220088217966622,0.015401256004772301,0.006855757540492532
3.2,0.05333333333333334,0.5619,0.5619,True,25565.858638046506,2.5231541574394363e-11,1.2028156352494521,4.668431447028155e-06,,,0.004668431447028155,2.3308290141509,0.005668431447028155,-0.003054440244036822,3141592.653589793,45.0,18514.678786551744,2.0786764823891882e-05,5.458779718605719e-11,0.033472280214348615,17758970.044454664,4937960.863175662,18432701.227060907,-1.1276916205563579e-10,-7.2462885682238065e-12,1.1300173719347953e-10,8.222440131271776e+27,0.01245821573895011,0.0002706916805511692,0.043354331461314864,5.906701466606602,111031035606891.66,111031035606891.66,46713691413710.6,0.01069513617108991,0.010822442538960659,0.00449972647731386
6.4,0.10666666666666667,0.57825,0.57825,True,30717.828033034362,3.0316140211194784e-11,1.197561060019819,6.071643287355208e-06,,,0.006071643287355208,2.2166937514215257,0.007071643287355208,-0.0018965900155170454,3141592.653589793,45.0,15927.369977863762,2.2411604988109566e-05,3.251167312395746e-11,0.043162058236681185,8304869.743303197,2592777.569628911,8700192.927677162,-6.393232210561839e-11,-1.1976548290730803e-10,1.357612341791177e-10,2.522500456725048e+27,0.005880249407198396,0.00032521125379448353,0.025821189453272057,7.616612643529331,52560333531407.18,52560333531407.18,19430621605660.277,0.005062908053083232,0.005123172871108069,0.001871667167882918
11.4,0.19,0.60545,0.60545,True,40312.650025427545,3.9785493594840036e-11,1.1804979597565002,1.0069155696249612e-05,,,0.010069155696249613,1.9970069437296407,0.011069155696249614,2.3284264315886784e-05,3141592.653589793,45.0,12891.04998077635,2.4911555571909278e-05,3.817604169398213e-13,0.07176178712030351,-59100.40653992158,-21821.546227675004,63000.30105444388,-1.1156012468386474e-11,-6.345551682187929e-11,6.4428714323092e-11,2.3706520305425684e+25,4.2580375631695496e-05,0.00015433671542595815,0.00030319903912602326,12.663477077611946,388028397435.66156,388028397435.66156,110670414461.02588,3.7377085840372054e-05,3.782199284892359e-05,1.0660399106447333e-05
16.4,0.2733333333333333,0.633,0.633,True,51225.60044215022,5.0555738632848357e-11,1.1660474692825848,8.024749996282328e-06,,,0.008024749996282329,2.095568488758144,0.00902474999628233,-0.0007858428726020883,3141592.653589793,45.0,10737.842248200626,2.7295212755627527e-05,1.244179131457425e-11,0.061928096721862745,2144549.096020944,828120.3998969052,2298885.430370478,-1.4287122856340273e-11,-5.2433859551126504e-11,5.4345482856806236e-11,1.2621858904268758e+27,0.001553760910996507,0.00013018268966684954,0.009881430877052049,10.928170336431938,14139933109271.775,14139933109271.775,4348239655419.6655,0.0013620381835326922,0.0013782507993678724,0.00041884699142948317
21.4,0.35666666666666663,0.6586,0.6586,True,64380.312012166076,6.353842998607659e-11,1.1525285331239241,9.599713017738464e-06,,,0.009599713017738463,2.0177417499474672,0.010599713017738464,-0.00013969019096278322,3141592.653589793,45.0,8993.599856381068,2.9824846213709542e-05,2.131270691408347e-12,0.0765649032797093,290053.3757661804,121699.24770505322,314549.9446595611,-7.367186932492521e-12,-3.839634106451258e-11,3.909673196624832e-11,2.0677678357238164e+26,0.00021259667929139823,9.365484410104317e-05,0.0016926826278438642,13.5110612003955,1971578633117.748,1971578633117.748,544014654041.4182,0.0001899135844131207,0.00019217416419950087,5.240256269104091e-05
