z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
-0.1,-100.0,R_E,0.1,100.0,3394562096069.252,3394562096069.252,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.099,-99.0,R_E,0.099,99.0,3409213766718.8223,3409213766718.8223,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.098,-98.0,R_E,0.098,98.0,3424046460592.044,3424046460592.044,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.097,-97.0,R_E,0.097,97.0,3439060581354.972,3439060581354.972,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.096,-96.0,R_E,0.096,96.0,3454256380124.0454,3454256380124.0454,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.095,-95.0,R_E,0.095,95.0,3469633942702.764,3469633942702.764,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.094,-94.0,R_E,0.094,94.0,3485193175936.1973,3485193175936.1973,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.093,-93.0,R_E,0.093,93.0,3500933793124.0186,3500933793124.0186,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.092,-92.0,R_E,0.092,92.0,3516855298428.3594,3516855298428.3594,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.091,-91.0,R_E,0.091,91.0,3532956970208.6816,3532956970208.6816,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.09,-90.0,R_E,0.09,90.0,3549237843211.1616,3549237843211.1616,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.089,-89.0,R_E,0.089,89.0,3565696689535.0493,3565696689535.0493,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.088,-88.0,R_E,0.088,88.0,3582331998293.5566,3582331998293.5566,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.087,-87.0,R_E,0.087,87.0,3599141953880.5884,3599141953880.5884,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
-0.086,-86.0,R_E,0.086,86.0,3616124412749.375,3616124412749.375,5.787597065565406e-05,57.875970655654065,0.03181980515339464,31.819805153394636
