Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.4342673194,1.8581233557635945e-11,1.2186342353923165,0.0,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47563549736,1.8231428594914342e-05,1.2591082645384715e-09,0.005666831209081565,1478876233.555794,45038664.09348291,1479561893.074939,-7.906412369697309e-08,4.099937265674119e-07,4.1754759187499094e-07,1.411564454339631e+27,1.0,1.0,1.0,1.0,1.0381451300596926e+16,1.0259332394838142e+16,1.0381451300596926e+16,1.0,1.0,1.0
0.2,0.0033333333333333335,0.545,0.545,True,18827.4342673194,1.8581233557635945e-11,1.218633984611199,2.220446049250313e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.48058851795,1.823142671900353e-05,1.2591086532136972e-09,0.005666832376603277,1478876538.5640326,45038790.00262771,1479562201.7745774,-7.944676494901438e-08,4.099238287688544e-07,4.175515942412159e-07,1.4115507938612341e+27,1.0000002086425988,1.0000095854132627,1.00000030869087,1.000000206027261,1.0381452354260908e+16,1.0259334489308882e+16,1.0381452354260908e+16,1.0000001014948634,1.0000002041527323,1.0000001014948634
0.4,0.006666666666666667,0.545,0.545,True,18827.4342673194,1.8581233557635945e-11,1.2186292371620637,3.2403298249669055e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.574352793315,1.8231391206759328e-05,1.259116011125418e-09,0.005666854478636952,1478882337.101788,45041158.13481423,1479568069.7141893,-7.993587974670763e-08,4.0978282815977545e-07,4.1750654021883793e-07,1.411702053168468e+27,1.0000041746406685,0.999901683887174,1.0000061524391228,1.0000041062728937,1.0381472283660728e+16,1.0259374152516078e+16,1.0381472283660728e+16,1.0000020212071699,1.0000040702139603,1.0000020212071699
0.8,0.013333333333333334,0.5452,0.5452,True,18912.457689704042,1.866514515423309e-11,1.21789285995289,9.598434253580758e-14,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23983.656259148047,1.8263638312819635e-05,1.2581141727502606e-09,0.00567233845855257,1476875505.3606584,45606160.659168914,1477579500.475142,-7.931541564451117e-08,4.090257233877222e-07,4.166449058271456e-07,1.4112155558052566e+27,0.9986601489203828,0.9978381241673748,0.9992104794986988,1.0009718393345084,1.036070831928836e+16,1.02437956962632e+16,1.036070831928836e+16,0.9980019189313759,0.9984856033534152,0.9980019189313759
1.6,0.02666666666666667,0.5456,0.5456,True,19096.404188539967,1.8846686239887688e-11,1.2167284910382365,5.908556012546752e-12,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23792.807097252393,1.833674104060399e-05,1.2552175178948796e-09,0.00568187991438118,1472008090.0523233,46567382.2482616,1472744491.8481088,-8.049387412145464e-08,4.0641396148242573e-07,4.1430854668823717e-07,1.4119481233721123e+27,0.995392283851903,0.9922426922109432,0.9969099189059663,1.0026555767666943,1.031461987377363e+16,1.0206779594959296e+16,1.031461987377363e+16,0.9935624196571193,0.9948775614380827,0.9935624196571193
3.2,0.05333333333333334,0.54655,0.54655,True,19206.754419988876,1.895559345446501e-11,1.2173810722145244,4.974040408497345e-11,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23684.595275229,1.8378582390446086e-05,1.2538677414510415e-09,0.005688692269213355,1468795237.9233286,47429359.67507207,1469560817.0829253,-7.959525778004697e-08,4.059002170902188e-07,4.136307426859842e-07,1.4099247935971034e+27,0.9932405152911659,0.9906193946145919,0.9958379090702332,1.003857722124625,1.0279032989498868e+16,1.0177649354677e+16,1.0279032989498868e+16,0.9901344900503296,0.9920381719767419,0.9901344900503296
6.4,0.10666666666666667,0.5486,0.5486,True,19660.610739832424,1.940351483137086e-11,1.218785975072828,1.270465007518086e-10,,,1.270465007518086e-07,6.896037292243748,0.0010001270465007518,-0.06364713417612823,3141592.653589793,45.0,23197.861346143534,1.8570389777856845e-05,1.2182606286734988e-09,0.005702799836035697,1423838032.1761105,48027434.503482625,1424647807.8234372,-7.804971470609561e-08,3.827939688802362e-07,3.9066991255635e-07,1.4445050430675486e+27,0.9628849015992328,0.9356296627219256,0.9675582815112841,1.0063472204530266,9937606388905330.0,9851777888658508.0,9937606388905330.0,0.9572463522835121,0.9602747537076887,0.9572463522835121
12.8,0.21333333333333335,0.5536,0.5536,True,21083.42707084578,2.0807725420068454e-11,1.218436999623884,1.985496211332972e-10,,,1.985496211332972e-07,6.702130937307604,0.0010001985496211332,-0.061125675085875276,3141592.653589793,45.0,21835.764143720044,1.9140831325765707e-05,1.1458008529770412e-09,0.005755303987953161,1329648491.6502242,51147814.184866875,1330631883.8219705,-7.303001082247268e-08,3.37508665575386e-07,3.4531939102692775e-07,1.514046289840861e+27,0.899341818716721,0.8270180399706688,0.9100097944294223,1.0156123899949254,9205290441731946.0,9167637083937372.0,9205290441731946.0,0.8867055458038559,0.8935900242933894,0.8867055458038559
25.6,0.4266666666666667,0.5626,0.5626,True,23083.06107283109,2.27812108081e-11,1.217540455356282,3.4185115859486686e-10,,,3.4185115859486687e-07,6.466162943859585,0.0010003418511585949,-0.05805680351303906,3141592.653589793,45.0,20283.342517615634,1.9859816493088788e-05,1.0667110005187182e-09,0.005852321363436997,1221224788.1297562,57246084.041151255,1222565784.4388638,-6.71120622252908e-08,2.9155056623597975e-07,2.9917513527807037e-07,1.58330552537887e+27,0.8263025630499538,0.716505474105668,0.8471956149932215,1.0327326061976523,8370156060017431.0,8370156060017431.0,8334671194043141.0,0.8062606872255089,0.815857771040616,0.802842584597387
50.6,0.8433333333333334,0.57925,0.57925,True,26659.866350621094,2.631124327631393e-11,1.2185548427165693,5.935806402869835e-10,,,5.935806402869834e-07,6.226520272071421,0.001000593580640287,-0.054939317405253194,3141592.653589793,45.0,18066.73158480514,2.1042880908773355e-05,9.800555012489576e-10,0.006020297751724904,1094298072.9716194,66917439.810034424,1096342198.522035,-6.437727080112969e-08,2.4501465160175844e-07,2.533310334233314e-07,1.6433275458144148e+27,0.7409911026050641,0.6067117577801188,0.7783727014199202,1.0623746375358558,7425493921415021.0,7425493921415021.0,7290241178096877.0,0.7152654967411022,0.7237794464239279,0.7022371889061112
