Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_schakel2011_RE_fixed_receiver_z_m,Amax_waveform_schakel2011_TE_fixed_receiver_z_m,Amax_waveform_schakel2011_RE_fixed_receiver_distance_m,Amax_waveform_schakel2011_TE_fixed_receiver_distance_m,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,0.0,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,1.4114610550198504e+27,1.0,1.0,1.0,1.0,0.8170405421392264,0.8170405421392264,0.4478078198413563,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8170405421392264,0.8170405421392264,0.4478078198413563,1.0,1.0,1.0,1.0,1.0,1.0
0.2,0.0033333333333333335,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,1.4114610550198504e+27,1.0,1.0,1.0,1.0,0.8170405421392264,0.8170405421392264,0.4478078198413563,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8170405421392264,0.8170405421392264,0.4478078198413563,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.006666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,1.411933506656363e+27,1.000000204101301,0.9996653985160942,1.0000003086911318,1.0000002060274358,0.8170407363820164,0.8170407363820164,0.44780778942659766,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8170407363820164,0.8170407363820164,0.44780778942659766,1.0000002377394754,1.0000002377394754,0.9999999320807782,1.0000002377394754,1.0000002377394754,0.9999999320807782
0.8,0.013333333333333334,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,1478876513.9364321,45038793.11487565,1479562177.2531288,-8.119161365733584e-08,4.094664264669796e-07,4.1743841765213764e-07,1.411933506656363e+27,1.000000204101301,0.9996653985160942,1.0000003086911318,1.0000002060274358,0.8170407363820164,0.8170407363820164,0.44780778942659766,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8170407363820164,0.8170407363820164,0.44780778942659766,1.0000002377394754,1.0000002377394754,0.9999999320807782,1.0000002377394754,1.0000002377394754,0.9999999320807782
1.6,0.02666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.2186338597214,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.48246420798,1.8231426008603403e-05,1.2591088313172497e-09,0.0056668329578717265,1478876675.9152277,45038850.5625777,1479562340.9056044,-7.877485907456174e-08,4.101139170970552e-07,4.1761094743661514e-07,1.4113500901444743e+27,1.0000003147100416,1.0000785661797837,1.0000004624005137,1.0000003086165425,0.8170408330111665,0.8170408330111665,0.44780777444346764,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8170408330111665,0.8170408330111665,0.44780777444346764,1.0000003560067403,1.0000003560067403,0.9999998986219386,1.0000003560067403,1.0000003560067403,0.9999998986219386
3.2,0.05333333333333334,0.5451,0.5451,True,18833.8181813924,1.8587533991179785e-11,1.21871261371758,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24063.18445769358,1.8233432910431657e-05,1.2591198676372764e-09,0.005667505035909532,1478720744.779042,45130291.203067,1479409268.669072,-7.938448946505016e-08,4.0996745454092984e-07,4.1758257979757257e-07,1.411177861125755e+27,0.9998968568965558,1.0000106324535398,1.0000092275881252,1.0001189071794818,0.8169973891338902,0.8169973891338902,0.44752522227249253,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8169973891338902,0.8169973891338902,0.44752522227249253,0.999947183764929,0.999947183764929,0.9993689311433555,0.999947183764929,0.999947183764929,0.9993689311433555
6.4,0.10666666666666667,0.54545,0.54545,True,18923.4850388429,1.8676028302035464e-11,1.21822216091196,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23974.189130478564,1.8267244006151798e-05,1.2581024381733699e-09,0.005673402894087003,1476515977.640348,45772394.04358683,1477225285.5552242,-8.016048276820107e-08,4.0890939990182557e-07,4.166924529262585e-07,1.4105983868598253e+27,0.9984207556598669,0.9978789910043726,0.9992011719943112,1.0011596754607235,0.8161597621096454,0.8161597621096454,0.44547320348701525,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8161597621096454,0.8161597621096454,0.44547320348701525,0.9989219873627385,0.9989219873627385,0.9947865663552545,0.9989219873627385,0.9989219873627385,0.9947865663552545
12.8,0.21333333333333335,0.54565,0.54565,True,18974.5653238366,1.8726440625466387e-11,1.21910831589282,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23901.030598223475,1.8295179698464032e-05,1.2557284091113552e-09,0.00567133768194813,1473850337.0560129,45557353.89597202,1474554267.7480967,-8.051737849145364e-08,4.0744545293124584e-07,4.1532498763436333e-07,1.4134504244043243e+27,0.996615479481988,0.994604237943387,0.9973156875145596,1.0007952368419066,0.8147874227803463,0.8147874227803463,0.44444766686422693,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8147874227803463,0.8147874227803463,0.44444766686422693,0.9972423408109213,0.9972423408109213,0.9924964397041576,0.9972423408109213,0.9972423408109213,0.9924964397041576
25.6,0.4266666666666667,0.5465,0.5465,True,19083.7851282926,1.8834232195305457e-11,1.22071961746299,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23769.843486556725,1.8345596297331538e-05,1.252572445208315e-09,0.005672638731367909,1469309408.9773614,45811570.91158105,1470023414.5546083,-8.002717987938809e-08,4.0583875928915745e-07,4.136537780086272e-07,1.415077534858022e+27,0.9935531856575722,0.9906020896842211,0.9948091803057604,1.0010248271317523,0.8126665691340323,0.8126665691340323,0.4414079282156704,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8126665691340323,0.8126665691340323,0.4414079282156704,0.9946465655256937,0.9946465655256937,0.9857083969012573,0.9946465655256937,0.9946465655256937,0.9857083969012573
51.2,0.8533333333333334,0.5486,0.5486,True,19407.8067693067,1.915401670252651e-11,1.22119785160067,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23453.621378771906,1.8468857845640457e-05,1.2485040634015566e-09,0.005692119080215671,1460419928.9506469,48105165.353769794,1461211988.6621263,-8.194018985845897e-08,4.0260710065015337e-07,4.108608915532884e-07,1.4120068494825137e+27,0.9875977565270004,0.9839137930796833,0.9915780190377355,1.004462435934507,0.8091435361217078,0.8091435361217078,0.43290803827615487,-0.0009999999999999835,0.0010000000000000182,0.0009999999999999835,0.0010000000000000182,0.8091435361217078,0.8091435361217078,0.43290803827615487,0.990334621588248,0.990334621588248,0.9667272858913452,0.990334621588248,0.990334621588248,0.9667272858913452
