Pe_label,run_dir,Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_schakel2011_RE_fixed_receiver_z_m,Amax_waveform_schakel2011_TE_fixed_receiver_z_m,Amax_waveform_schakel2011_RE_fixed_receiver_distance_m,Amax_waveform_schakel2011_TE_fixed_receiver_distance_m,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,0.1,0.0016666666666666,0.545,0.545,True,18827.43472957173,1.858123401384354e-11,1.2186342353765107,1.6267913937245272e-38,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,24068.475044878847,1.8231428818605688e-05,1.2591082491049464e-09,0.0056668312089938,1478876215.753874,45038663.809468105,1479561875.2726233,-7.907110369202681e-08,4.100234914788226e-07,4.175781399972458e-07,1.411461054749964e+27,1.0,1.0,1.0,1.0,0.001307619358998,0.001307619358998,0.0011619607240691,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.001307619358998,0.001307619358998,0.0011619607240691,1.0,1.0,1.0,1.0,1.0,1.0
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,0.5,0.0083333333333333,0.545,0.545,True,18827.43472957173,1.858123401384354e-11,1.2186339845951786,2.7458628976718943e-28,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,24068.479997903552,1.823142694269325e-05,1.2591086377805007e-09,0.0056668323765165,1478876520.7059886,45038789.61371519,1479562183.9129703,-7.944697781655369e-08,4.099262027432984e-07,4.1755396535025714e-07,1.4115427182922468e+27,1.000000208602528,0.9999421074891784,1.0000003086911349,1.000000206027437,0.0013076196783071,0.0013076196783071,0.0011619607699011,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0013076196783071,0.0013076196783071,0.0011619607699011,1.0000002441911695,1.0000002441911695,1.000000039443597,1.0000002441911695,1.0000002441911695,1.000000039443597
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,2.1,0.035,0.545,0.545,True,18827.43472957173,1.858123401384354e-11,1.2186338597214024,9.925799138310496e-25,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,24068.482464207897,1.823142600860344e-05,1.2591088313172456e-09,0.0056668329578717,1478876669.089323,45038853.95884329,1479562334.186247,-8.051273848827095e-08,4.096267753625641e-07,4.174642453585855e-07,1.4118460545859566e+27,1.0000003101685924,0.9997272495187102,1.000000462400512,1.0000003086165412,0.0013076198374051,0.0013076198374051,0.001161960792862,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0013076198374051,0.0013076198374051,0.001161960792862,1.0000003658611571,1.0000003658611571,1.0000000592041267,1.0000003658611571,1.0000003658611571,1.0000000592041267
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,8.5,0.1416666666666666,0.54555,0.54555,True,18923.485038842853,1.867602830203542e-11,1.2182294751775744,1.0730033978873877e-23,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,23978.44046738058,1.826562455864836e-05,1.258437109906912e-09,0.0056744101212878,1476693302.2828264,45904852.87584169,1477406634.791015,-7.943796465250189e-08,4.093117788195417e-07,4.1694906464525083e-07,1.409683955135317e+27,0.9985433252115858,0.9984935146461472,0.9994669725986532,1.001337416276301,0.001305579739396,0.001305579739396,0.0011584982090817,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.001305579739396,0.001305579739396,0.0011584982090817,0.9984402038804808,0.9984402038804808,0.997020110133016,0.9984402038804808,0.9984402038804808,0.997020110133016
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,34.1,0.5683333333333334,0.5468,0.5468,True,19130.82222015857,1.8880654197232228e-11,1.2216493230406549,2.062130647395441e-23,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,23706.3618492748,1.837014308108429e-05,1.2506327824495736e-09,0.0056714158644271,1466958384.359762,45714551.58114784,1467670508.5507674,-8.032972574178644e-08,4.047063068814931e-07,4.1260157496961626e-07,1.4170169263260904e+27,0.9919629135350188,0.9880823143001156,0.993268675142588,1.0008090333493591,0.0012958917097249,0.0012958917097249,0.0011502510592316,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0012958917097249,0.0012958917097249,0.0011502510592316,0.9910312973019424,0.9910312973019424,0.9899224951455148,0.9910312973019424,0.9910312973019424,0.9899224951455148
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,127.26332419954542,2.121055403325757,0.55355,0.55355,True,19853.32639671652,1.959371040342458e-11,1.2272634143848988,3.6885047480988994e-23,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,23019.844332845078,1.86420557431132e-05,1.241895902113811e-09,0.0057149710936108,1445757945.3920715,51248172.13681386,1446665964.1436472,-8.493237066591945e-08,3.9888168216527306e-07,4.07823618680835e-07,1.4057986677395562e+27,0.9777664512185984,0.9766402491364248,0.9863297321708668,1.0084950270868491,0.0012738764123712,0.0012738764123712,0.0011207562865596,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0012738764123712,0.0012738764123712,0.0011207562865596,0.9741951307201664,0.9741951307201664,0.9645388723938212,0.9741951307201664,0.9741951307201664,0.9645388723938212
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,180.630614633016,3.0105102438836,0.55785,0.55785,True,20205.406755241336,1.9941186712725076e-11,1.232017214412558,5.409033839402508e-23,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,22706.47200824433,1.87702545709654e-05,1.2381983234206244e-09,0.0057370535863463,1435106696.8133783,54158646.90294621,1436128263.8653708,-8.501275941036813e-08,3.976757393331542e-07,4.0666099261760514e-07,1.3969496995646557e+27,0.9706442750836294,0.9738560371486096,0.9833930675148967,1.0123918244187342,0.0012622117105647,0.0012622117105647,0.0011053250579639,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0012622117105647,0.0012622117105647,0.0011053250579639,0.9652745670054274,0.9652745670054274,0.951258536599286,0.9652745670054274,0.9652745670054274,0.951258536599286
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,237.0881248563155,3.9514687476052575,0.5621,0.5621,True,20733.464254701044,2.04623389626816e-11,1.2324635196409814,7.778277615417634e-23,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,22288.674274604236,1.894536054887188e-05,1.2356516734768895e-09,0.0057785478973631,1423440504.0089648,58820665.02158591,1424655305.3587654,-8.69045186146936e-08,3.955929609254125e-07,4.0502615482137277e-07,1.3834451476185307e+27,0.9628899805871648,0.9699409907425808,0.9813704853059844,1.0197141372751677,0.0012506524869629,0.0012506524869629,0.0010864560109654,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0012506524869629,0.0012506524869629,0.0010864560109654,0.9564346675941356,0.9564346675941356,0.9350195651713932,0.9564346675941356,0.9564346675941356,0.9350195651713932
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,297.5174599715749,4.958624332859582,0.56705,0.56705,True,21079.570847754003,2.080391962364918e-11,1.233639282023712,1.0504667376981909e-22,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,22094.69433006436,1.9028344023485912e-05,1.2399137046031311e-09,0.0058238226924202,1418382162.0493386,64101809.138192266,1419829919.234887,-9.501029177612685e-08,3.9666071897550573e-07,4.078807197227517e-07,1.3613740246694836e+27,0.9596286190959536,0.976776992505982,0.9847554453594756,1.0277035750027672,0.001244634371155,0.001244634371155,0.001071743285937,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.001244634371155,0.001244634371155,0.001071743285937,0.9518323222965742,0.9518323222965742,0.9223575838120996,0.9518323222965742,0.9518323222965742,0.9223575838120996
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,344.7212170514547,5.745353617524245,0.57125,0.57125,True,21424.730546170504,2.1144565772237398e-11,1.2305909201499234,1.2466045619077013e-22,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,21954.003842908456,1.90892174680486e-05,1.248198262288446e-09,0.0058814500032888,1416869662.7376294,70453618.47270402,1418620228.7935066,-9.842347708626659e-08,4.0080460276585337e-07,4.127123822228313e-07,1.3330975086068476e+27,0.9588110186551762,0.9883476712299964,0.9913351478522548,1.0378728051674335,0.0012429918842758,0.0012429918842758,0.0010588969816206,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0012429918842758,0.0012429918842758,0.0010588969816206,0.9505762328482787,0.9505762328482787,0.9113018707830456,0.9505762328482787,0.9505762328482787,0.9113018707830456
