Pe_label,run_dir,Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_schakel2011_RE_fixed_receiver_z_m,Amax_waveform_schakel2011_TE_fixed_receiver_z_m,Amax_waveform_schakel2011_RE_fixed_receiver_distance_m,Amax_waveform_schakel2011_TE_fixed_receiver_distance_m,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm,target_Porosity,abs_phi_error
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,718.2377846861617,11.97062974476936,0.6006,0.6006,True,23937.03926966996,2.3624021788252265e-11,1.1977151802120602,9.596937789080906e-22,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,21226.477974887257,1.941359761628249e-05,1.3258196041220728e-09,0.0063531280246441,1413486625.4566274,119784922.37737346,1418553089.5859053,-1.3779282069604594e-07,4.399636280775615e-07,4.610367181326706e-07,1.1241486524433384e+27,0.9587656408925268,1.104072924257269,1.052983017992733,1.1211076861723013,0.0012458222101532,0.0012458222101532,0.0009765761724372,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0012458222101532,0.0012458222101532,0.0009765761724372,0.952740720440138,0.952740720440138,0.8404554062871336,0.952740720440138,0.952740720440138,0.8404554062871336,0.6,0.0006000000000000449
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,2093.694641733368,34.894910695556135,0.7002,0.7002,True,35908.680781529445,3.5439113735553617e-11,1.144382171641482,3.3629356523609727e-17,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,17265.063128312133,2.1525879666871824e-05,1.458968773769875e-09,0.0077502203163534,1226889385.249924,208117029.4516779,1244415630.5618825,-3.115837950639316e-07,6.125804459160986e-07,6.872694261097378e-07,7.021621900435549e+26,0.8410703542442839,1.6458462746978824,1.1587318046776376,1.3676462259989366,0.0011438832019891,0.0011438832019891,0.0007217466933772,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0011438832019891,0.0011438832019891,0.0007217466933772,0.8747830124399929,0.8747830124399929,0.621145515873959,0.8747830124399929,0.8747830124399929,0.621145515873959,0.7,0.000200000000000089
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,3418.204701921447,56.97007836535745,0.799,0.799,True,55954.753352729625,5.522304982956199e-11,1.0783455007687164,1.2009012020448817e-12,,,1e-07,7.0,0.0010001,-0.0649989143180784,3141592.653589793,45.0,13417.40289009789,2.441803788066877e-05,1.5575111529746907e-09,0.0093831967189046,2625292950.0091166,-482023104.9159029,2669177653.705414,-5.309644026835951e-06,-2.817848009659668e-06,6.011038770234114e-06,3.974820266968183e+26,1.804032462794834,14.395003460367349,1.236995432348146,1.6558101649494197,0.0010275737017334,0.0010275737017334,0.000524860272712,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0010275737017334,0.0010275737017334,0.000524860272712,0.7858354915461546,0.7858354915461546,0.4517022493445525,0.7858354915461546,0.7858354915461546,0.4517022493445525,0.8,0.0010000000000000009
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,4750.939742363817,79.18232903939695,0.89835,0.89835,True,189503.4857290073,1.8702540549717484e-10,1.039128248043775,1.7272338412468066e-08,,,1.7272338412468065e-05,4.762648861570786,0.0010172723384124,-0.035811702851449,3141592.653589793,45.0,4622.488252328749,4.16013175607222e-05,5.87731697917871e-10,0.0111192443471348,376928137.7623264,201473969.90656236,427395111.79573137,-2.1197328055640377e-08,-1.8942911333582988e-07,1.906114259321752e-07,4.905743786768078e+26,0.2888659940071649,0.4564688801320692,0.4667840897203776,1.962162615587954,0.000322136191867,0.000322136191867,0.0001320165119912,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.000322136191867,0.000322136191867,0.0001320165119912,0.246353183478337,0.246353183478337,0.1136152963320261,0.246353183478337,0.246353183478337,0.1136152963320261,0.9,0.0016500000000000403
Pe0.1,results\schakel2011_sommerfeld_rtm_20260617\Pe0p1,5471.111412486937,91.18519020811564,0.95065,0.95,False,899603.0499109443,8.878392107081738e-10,1.0283057935782811,2.4614349351910454e-06,,,0.002461434935191,2.608811639745365,0.003461434935191,-0.0062730241433833,3141592.653589793,45.0,1040.5596981095478,8.768221108128261e-05,5.248497584252328e-11,0.0404223697351137,9734168.04428926,7767057.112329188,12453160.390063465,-1.9407086287435408e-10,-1.001508546554626e-09,1.0201386516737596e-09,1.030537619181439e+27,0.0084167891848178,0.0024429886384389,0.0416842442894269,7.133152240525387,,,,,,,,,,,,,,,,,0.99,0.040000000000000036
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,70.3,1.1716666666666666,0.5981,0.5981,True,30342.59988510808,2.994581880919049e-11,1.219442065576527,4.708019137258851e-09,,,4.708019137258852e-06,5.327161780495334,0.0010047080191372,-0.0432191682818776,3141592.653589793,45.0,16378.587215005287,2.2100737926011212e-05,7.574316330512743e-10,0.0062332639832159,819311693.0767125,63215834.638547264,821746854.0622941,-4.3628268463701554e-08,1.4567328055531765e-07,1.520662042562025e-07,2.008537204001668e+27,0.5553987689926755,0.3641889145458883,0.6015619580806361,1.0999558224403416,0.00071877191626,0.00071877191626,0.0005741975212343,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.00071877191626,0.00071877191626,0.0005741975212343,0.549679769241918,0.549679769241918,0.4941625844176274,0.549679769241918,0.549679769241918,0.4941625844176274,0.6,0.0019000000000000128
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,191.9617661914652,3.1993627698577525,0.69785,0.69785,True,84522.88550773337,8.341760509081439e-11,1.1681941966962144,5.749526676351133e-07,,,0.0005749526676351,3.2403679066686224,0.0015749526676351,-0.0149013613669586,3141592.653589793,45.0,7161.258013656389,3.3423377404636224e-05,2.1082956091494656e-10,0.0118927519787338,135662566.75783014,32758253.45814812,139561582.06666687,-4.615499428305629e-09,7.332097702876199e-09,8.663861246419637e-09,3.731431713919517e+27,0.094326288558716,0.020749398188395,0.1674435525941262,2.0986599988499286,0.0001267075672269,0.0001267075672269,5.203765756126692e-05,-0.0009999999999999,0.001,0.0009999999999999,0.001,0.0001267075672269,0.0001267075672269,5.203765756126692e-05,0.0968994262838239,0.0968994262838239,0.0447843510230313,0.0968994262838239,0.0968994262838239,0.0447843510230313,0.7,0.0021499999999999853
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,336.1161816701282,5.601936361168803,0.79975,0.79975,True,476970.9221462151,4.707337164885856e-10,1.1082335707644204,7.396324937794445e-06,,,0.0073963249377944,2.13098401752487,0.0083963249377944,-0.0010975876234709,3141592.653589793,45.0,1533.0193657818122,7.223890810176109e-05,8.727113935548196e-12,0.0765909655052338,3924732.811889902,369097.5440890485,3942050.309392028,4.421332491364698e-10,-4.106635574669313e-10,6.034288420546099e-10,9.152515061968203e+26,0.0026643361983318,0.0014451738048468,0.0069311862858331,13.515660283385628,1.0487526738993323e-06,1.0487526738993323e-06,4.0749783244941036e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,1.0487526738993323e-06,1.0487526738993323e-06,4.0749783244941036e-07,0.0008020320698955,0.0008020320698955,0.0003506984523285,0.0008020320698955,0.0008020320698955,0.0003506984523285,0.8,0.0002500000000000835
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,595.5941295317217,9.926568825528696,0.89975,0.89975,True,2642345.354931817,2.60779219742898e-09,1.0306885098053191,3.458587559337925e-05,,,0.0345858755933792,1.4611012250291209,0.0355858755933792,0.0028257759319384,3141592.653589793,45.0,334.7506579022223,0.0001545910239846,1.2728003518515803e-11,0.3926793076251664,-273739.17537456105,-260507.07426964928,377884.99821940175,5.5706941858237916e-12,-2.8340126957001895e-12,6.25014093211992e-12,5.525366261988243e+26,0.0002554033055244,1.4968691123456753e-05,0.0101087443208716,69.2943363119525,3.624070454901024e-07,2.9734708340389337e-07,3.624070454901024e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.624070454901024e-07,2.9734708340389337e-07,3.624070454901024e-07,0.0002771502567506,0.000227395746123,0.0003118926773239,0.0002771502567506,0.000227395746123,0.0003118926773239,0.9,0.00024999999999997247
Pe1,results\schakel2011_sommerfeld_rtm_20260617\Pe1,864.6823717585593,14.411372862642654,0.95585,0.95,False,4169060.268997896,4.114542718578292e-09,1.0078956119788869,5.64648761862816e-05,,,0.0564648761862816,1.2482216198243783,0.0574648761862816,0.0031597152274566,3141592.653589793,45.0,229.07963115181005,0.0001868752367668,1.2717578662110786e-11,0.6846622783987292,-140341.2499039592,-136463.56692234718,195749.76761614677,4.871860303719901e-12,-4.585069125939887e-12,6.690133160753149e-12,1.524658277874203e+26,0.0001323025204503,1.602244460496398e-05,0.0101004647656509,120.81924679554622,,,,,,,,,,,,,,,,,0.99,0.040000000000000036
Pe10,results\schakel2011_sommerfeld_rtm_20260617\Pe10,9.871663204212345,0.1645277200702057,0.59775,0.59775,True,37938.6289017748,3.744251683321496e-11,1.1827144174850923,7.389784714472907e-06,,,0.0073897847144729,2.1313682136590795,0.0083897847144729,-0.0011010293042313,3141592.653589793,45.0,13498.162746941876,2.4344881416144976e-05,1.8193355295004038e-11,0.0535988192302545,3735281.089320524,1293590.5990705425,3952935.801937492,-8.80276928525116e-12,2.291932257979654e-12,9.096246509661496e-12,1.4039831835121242e+28,0.0122036016285625,0.0004831407713623,0.0551002403334011,6.728531440989316,3.4615209330001345e-06,3.4615209330001345e-06,4.094192674019447e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,3.4615209330001345e-06,3.4615209330001345e-06,4.094192674019447e-07,0.012135332589474,0.012135332589474,0.0022471482466415,0.012135332589474,0.012135332589474,0.0022471482466415,0.6,0.0022499999999999742
Pe10,results\schakel2011_sommerfeld_rtm_20260617\Pe10,28.098292135498,0.4683048689249666,0.7009,0.7009,True,95574.89623215864,9.432509198659958e-11,1.1255264063407695,1.4448801870772146e-05,,,0.0144488018707721,1.8401681641521133,0.0154488018707721,0.0011276976707102,3141592.653589793,45.0,6601.963729051214,3.4810352932248246e-05,1.6074666044698712e-11,0.1216078106318358,-1291855.985706231,-613635.728981905,1430189.0419410197,1.9106550705713878e-11,6.7087683793765e-11,6.975541266942812e-11,3.936138610074265e+26,0.0044153151469925,0.0037050099563603,0.048683596180045,15.266044831903962,1.3333996494124772e-06,1.3333996494124772e-06,2.568300645229709e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,1.3333996494124772e-06,1.3333996494124772e-06,2.568300645229709e-07,0.0046746064904724,0.0046746064904724,0.0014096435491176,0.0046746064904724,0.0046746064904724,0.0014096435491176,0.7,0.0009000000000000119
Pe10,results\schakel2011_sommerfeld_rtm_20260617\Pe10,50.42857931375457,0.8404763218959095,0.7999,0.7999,True,333402.0958492816,3.2904229666248933e-10,1.0759757448773437,3.139986338257669e-05,,,0.0313998633825766,1.5030722414911848,0.0323998633825766,0.0027069066803522,3141592.653589793,45.0,2259.3394606577563,5.95051082657149e-05,2.697258792771552e-11,0.3044687571817342,-2101223.429124361,-1057554.0526300785,2352352.115082995,2.6442856503381785e-11,-7.036703622747376e-11,7.517143371984496e-11,9.258425973520396e+26,0.0072622398999014,0.0039926781264383,0.0816889492417615,38.22150627415064,8.794131920029447e-07,8.794131920029447e-07,4.096137574658063e-07,-0.0009999999999999,0.001,0.0009999999999999,0.001,8.794131920029447e-07,8.794131920029447e-07,4.096137574658063e-07,0.0030830296205307,0.0030830296205307,0.0022482157293928,0.0030830296205307,0.0030830296205307,0.0022482157293928,0.8,9.999999999998899e-05
