Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_proxy,Amax_proxy_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,0.0,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,44162.33953188787,1.823142881860567e-05,1.7056285387486376e-09,0.005666265783228037,-6188532400.817708,51534186.66685663,6188746969.166375,-7.431387749125434e-07,-2.56392049755008e-06,2.669446301489499e-06,1.1544048747377716e+27,1.0,1.0,1.0,1.0,6188749638.612677,1.0
0.2,0.0033333333333333335,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,44162.33953188787,1.823142881860567e-05,1.7056285387486376e-09,0.005666265783228037,-6188532400.817708,51534186.66685663,6188746969.166375,-7.431387749125434e-07,-2.56392049755008e-06,2.669446301489499e-06,1.1544048747377716e+27,1.0,1.0,1.0,1.0,6188749638.612677,1.0
0.4,0.006666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,44162.34862000653,1.8231426942693248e-05,1.705629065268354e-09,0.005666266950634372,-6188532191.26514,51533499.19529262,6188746753.89648,-7.181559489069922e-07,-2.568792280182948e-06,2.6672910875414428e-06,1.1553378802890458e+27,0.9999999652159158,0.9991926363355376,1.000000308695419,1.0000002060274578,6188749421.187567,0.9999999648676837
0.8,0.013333333333333334,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,44162.34862000653,1.8231426942693248e-05,1.705629065268354e-09,0.005666266950634372,-6188532191.26514,51533499.19529262,6188746753.89648,-7.181559489069922e-07,-2.568792280182948e-06,2.6672910875414428e-06,1.1553378802890458e+27,0.9999999652159158,0.9991926363355376,1.000000308695419,1.0000002060274578,6188749421.187567,0.9999999648676837
1.6,0.02666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.2186338597214,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,44162.35314533574,1.8231426008603403e-05,1.7056293274431055e-09,0.005666267531931578,-6188532023.191159,51533113.79287768,6188746582.619105,-7.260449904590543e-07,-2.5669721706288544e-06,2.6676745402979166e-06,1.1551711170543563e+27,0.9999999375403015,0.9993362813889181,1.0000004624069367,1.0000003086165752,6188749250.293646,0.999999937254041
3.2,0.05333333333333334,0.5451,0.5451,True,18833.8181813924,1.8587533991179785e-11,1.21871261371758,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,44144.532118315125,1.8233432910431657e-05,1.7054877918429728e-09,0.005666939542778833,-6189670884.80822,50131874.29512225,6189873897.508972,-7.191598395390932e-07,-2.569750388263682e-06,2.6684842013373886e-06,1.1548989290051934e+27,1.0001820931358498,0.999639588122985,0.999917480915412,1.0001189071562422,6189876565.993174,1.0001820929018466
6.4,0.10666666666666667,0.54545,0.54545,True,18923.4850388429,1.8676028302035464e-11,1.21822216091196,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,43953.04634793027,1.8267244006151798e-05,1.7035626527950068e-09,0.005672836810259402,-6181230172.767243,41710727.56496711,6181370902.439212,-7.060049875397444e-07,-2.5678321614699664e-06,2.663119421263439e-06,1.1543611113656337e+27,0.9988081486019847,0.9976298904298881,0.9987887831924139,1.0011596750457443,6181373565.558633,0.9988081480937566
12.8,0.21333333333333335,0.54565,0.54565,True,18974.5653238366,1.8726440625466387e-11,1.21910831589282,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,43802.86007188395,1.8295179698464032e-05,1.7000362522298392e-09,0.005670771802357342,-6177823146.342167,40342399.72818891,6177954866.838771,-7.16818568843321e-07,-2.561056526245613e-06,2.6594810379590664e-06,1.1558120472123396e+27,0.9982561732800884,0.996266917403481,0.9967212752415006,1.0007952361046393,6177957526.319809,0.9982561724220457
25.6,0.4266666666666667,0.5465,0.5465,True,19083.7851282926,1.8834232195305457e-11,1.22071961746299,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,43494.68158564817,1.8345596297331538e-05,1.694444015225424e-09,0.005672072718675888,-6179325777.116304,30276466.16371129,6179399948.549809,-7.163826685623317e-07,-2.560547126256726e-06,2.658873015696324e-06,1.1562312054348308e+27,0.9984896747818041,0.9960391464749542,0.9934425795129933,1.0010248258147436,6179402607.422825,0.9984896737247967
51.2,0.8533333333333334,0.5486,0.5486,True,19407.8067693067,1.915401670252651e-11,1.22119785160067,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,42751.77065033158,1.8468857845640457e-05,1.6857039183841372e-09,0.00569155111580451,-6170204585.13097,-5229880.752810515,6170206801.560538,-6.831290080508286e-07,-2.564799186511394e-06,2.654215535477482e-06,1.1525742388818445e+27,0.9970042130178842,0.9942944100416934,0.9883183120404878,1.0044624332044776,6170209455.776073,0.9970042118490418
102.4,1.7066666666666668,0.5527,0.5527,True,19802.5074415921,1.9543555992530635e-11,1.22660304735036,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,41715.012042618524,1.862747866101359e-05,1.6701884449902968e-09,0.005708707999845165,-6198918830.422863,-56246305.271517135,6199174002.480319,-6.85876595074421e-07,-2.5876854644959747e-06,2.6770399262683084e-06,1.1452426268019823e+27,1.001684837555307,1.0028446441400871,0.9792216810675893,1.0074903328295604,6199176679.520246,1.0016848380555763
204.8,3.4133333333333336,0.56015,0.56015,True,20513.3814918231,2.0245134156068977e-11,1.2301251315222,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,40154.11419438631,1.8859396814894152e-05,1.6559720790703857e-09,0.005768930845793504,-6246950300.48756,-161816696.0516098,6249045743.142122,-6.155536178744035e-07,-2.6577525428959544e-06,2.7281046233141757e-06,1.1217027321499774e+27,1.0097432928307084,1.0219739658340183,0.9708867091807204,1.018118645770086,6249048471.246745,1.009743298106269
409.6,6.826666666666667,0.5718,0.5718,True,21430.1443872753,2.114990881816622e-11,1.2319199734279,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,38380.356465463825,1.9092746923624726e-05,1.65024347365725e-09,0.005880172139626693,-6354004658.107562,-321770497.9869178,6362146764.153382,-5.379993375171893e-07,-2.803555116543238e-06,2.854709193361857e-06,1.0722930022358927e+27,1.0280185626995126,1.069401243160046,0.9675280614546813,1.0377508511922988,6362149618.862576,1.0280185805494582
819.2,13.653333333333334,0.58865,0.58865,True,22801.1420343216,2.250297834028139e-11,1.22062746622211,2.22044604925031e-16,1e-07,7.0,0.001,-0.06500000000000002,3141592.653589793,45.0,36406.32650954457,1.932092832708488e-05,1.6699101291793e-09,0.006109294189094322,-6489123959.718633,-554243651.2878822,6512750247.75151,-4.2825287899539405e-07,-3.057896030806616e-06,3.0877384383381148e-06,9.801415112538025e+26,1.0523536153924835,1.1566962169702446,0.979058506141353,1.0781870146609844,6512753335.489948,1.05235366039947
