,0
input,c:\Users\imgw\Downloads\seismoelectric\se_results_zr20\global_evolution.xlsx
outdir,se_results_offset
snapshot_index,24
snapshot_Time_s,5769.2
snapshot_Porosity,0.75115
snapshot_Amax,2.5243556721928536e+16
T0_us,53.692484417121946
waveform_mode,spectral
pre_T0_max_abs,168279374435719.16
post_T0_max_abs,2.5243556721928536e+16
RE_peak_distance_from_interface_mm,35.99999999999995
TE_peak_distance_from_interface_mm,37.000000000000114
liu_dipole_reference_peak_distance_mm,31.819805153394636
spectral_n_omega,48
spectral_n_k,401
peak_spectral_n_omega,24
peak_spectral_n_k,101
spectral_f_min_factor,0.25
spectral_f_max_factor,2.5
source_beam_theta_deg,0.0
source_kb_m_inv,80.0
source_peak_cycles,2.0
source_duration_cycles,8.0
