Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_schakel2011,Amax_waveform_schakel2011_RE,Amax_waveform_schakel2011_TE,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_schakel2011_norm,Amax_waveform_schakel2011_RE_norm,Amax_waveform_schakel2011_TE_norm,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
0.1,0.0016666666666666668,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,0.0,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,1478876215.7538762,45038663.80946859,1479561875.2726254,-7.907110365964766e-08,4.100234914037506e-07,4.175781399174007e-07,1.4114610622033793e+27,1.0,1.0,1.0,1.0,1.4613803996998316,1.4613803996998316,1.2007026612166636,1.4613803996998316,1.4613803996998316,1.2007026612166636,1.0,1.0,1.0,1.0,1.0,1.0
0.2,0.0033333333333333335,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863423537651,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.475044878887,1.823142881860567e-05,1.2591082491049487e-09,0.0056668312089938715,1478876215.7538762,45038663.80946859,1479561875.2726254,-7.907110365964766e-08,4.100234914037506e-07,4.175781399174007e-07,1.4114610622033793e+27,1.0,1.0,1.0,1.0,1.4613803996998316,1.4613803996998316,1.2007026612166636,1.4613803996998316,1.4613803996998316,1.2007026612166636,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.006666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,1478876513.9364324,45038793.11487579,1479562177.253129,-8.119161365733584e-08,4.0946642646697967e-07,4.174384176521377e-07,1.411933476847531e+27,1.000000204101301,0.9996653985160942,1.0000003086911318,1.0000002060274358,1.4613808012133755,1.4613808012133755,1.2007025970887728,1.4613808012133755,1.4613808012133755,1.2007025970887728,1.0000002747495067,1.0000002747495067,0.9999999465913645,1.0000002747495067,1.0000002747495067,0.9999999465913645
0.8,0.013333333333333334,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.21863398459518,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.47999790356,1.8231426942693248e-05,1.2591086377804992e-09,0.005666832376516574,1478876513.9364324,45038793.11487579,1479562177.253129,-8.119161365733584e-08,4.0946642646697967e-07,4.174384176521377e-07,1.411933476847531e+27,1.000000204101301,0.9996653985160942,1.0000003086911318,1.0000002060274358,1.4613808012133755,1.4613808012133755,1.2007025970887728,1.4613808012133755,1.4613808012133755,1.2007025970887728,1.0000002747495067,1.0000002747495067,0.9999999465913645,1.0000002747495067,1.0000002747495067,0.9999999465913645
1.6,0.02666666666666667,0.545,0.545,True,18827.4347295717,1.8581234013843514e-11,1.2186338597214,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24068.48246420798,1.8231426008603403e-05,1.2591088313172497e-09,0.0056668329578717265,1478876675.9152272,45038850.562577106,1479562340.9056036,-7.877485907456178e-08,4.101139170970552e-07,4.1761094743661514e-07,1.4113501171572732e+27,1.000000314710041,1.0000785661797835,1.0000004624005137,1.0000003086165425,1.461381001275629,1.461381001275629,1.2007025650010912,1.461381001275629,1.461381001275629,1.2007025650010912,1.0000004116490118,1.0000004116490118,0.9999999198672781,1.0000004116490118,1.0000004116490118,0.9999999198672781
3.2,0.05333333333333334,0.5451,0.5451,True,18833.8181813924,1.8587533991179785e-11,1.21871261371758,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,24063.18445769358,1.8233432910431657e-05,1.2591198676372764e-09,0.005667505035909532,1478720744.7790406,45130291.203066766,1479409268.6690705,-7.93844894650501e-08,4.0996745454092973e-07,4.175825797975724e-07,1.41117783960185e+27,0.9998968568965547,1.0000106324535394,1.0000092275881252,1.0001189071794818,1.4613038066737092,1.4613038066737092,1.2001688240444452,1.4613038066737092,1.4613038066737092,1.2001688240444452,0.9999475885771164,0.9999475885771164,0.9995553960281246,0.9999475885771164,0.9999475885771164,0.9995553960281246
6.4,0.10666666666666667,0.54545,0.54545,True,18923.4850388429,1.8676028302035464e-11,1.21822216091196,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23974.189130478564,1.8267244006151798e-05,1.2581024381733699e-09,0.005673402894087003,1476515977.6403482,45772394.04358648,1477225285.5552244,-8.016048276820118e-08,4.0890939990182567e-07,4.1669245292625865e-07,1.410598369637251e+27,0.9984207556598669,0.9978789910043728,0.9992011719943112,1.0011596754607235,1.4597762163164485,1.4597762163164485,1.1959796211425955,1.4597762163164485,1.4597762163164485,1.1959796211425955,0.9989022821274238,0.9989022821274238,0.9960664365736625,0.9989022821274238,0.9989022821274238,0.9960664365736625
12.8,0.21333333333333335,0.54565,0.54565,True,18974.5653238366,1.8726440625466387e-11,1.21910831589282,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23901.030598223475,1.8295179698464032e-05,1.2557284091113552e-09,0.00567133768194813,1473850337.0560126,45557353.89597155,1474554267.7480965,-8.051737849145365e-08,4.0744545293124595e-07,4.153249876343635e-07,1.413450455522905e+27,0.9966154794819877,0.9946042379433873,0.9973156875145596,1.0007952368419066,1.4570524791314867,1.4570524791314867,1.1938998606174198,1.4570524791314867,1.4570524791314867,1.1938998606174198,0.9970384709078938,0.9970384709078938,0.9943343170470277,0.9970384709078938,0.9970384709078938,0.9943343170470277
25.6,0.4266666666666667,0.5465,0.5465,True,19083.7851282926,1.8834232195305457e-11,1.22071961746299,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23769.843486556725,1.8345596297331538e-05,1.252572445208315e-09,0.005672638731367909,1469309408.9773617,45811570.9115808,1470023414.5546086,-8.002717987938813e-08,4.0583875928915766e-07,4.136537780086274e-07,1.415077504815219e+27,0.9935531856575722,0.9906020896842215,0.9948091803057604,1.0010248271317523,1.4529139637330255,1.4529139637330255,1.187913660546141,1.4529139637330255,1.4529139637330255,1.187913660546141,0.9942065488434462,0.9942065488434462,0.98934873629949,0.9942065488434462,0.9942065488434462,0.98934873629949
51.2,0.8533333333333334,0.5486,0.5486,True,19407.8067693067,1.915401670252651e-11,1.22119785160067,2.22044604925031e-16,,,1e-07,7.0,0.0010001,-0.06499891431807844,3141592.653589793,45.0,23453.621378771906,1.8468857845640457e-05,1.2485040634015566e-09,0.005692119080215671,1460419928.9506466,48105165.35376991,1461211988.662126,-8.19401898584589e-08,4.026071006501533e-07,4.1086089155328834e-07,1.4120068174950236e+27,0.9875977565270001,0.9839137930796831,0.9915780190377355,1.004462435934507,1.4464563548453986,1.4464563548453986,1.1707399065623902,1.4464563548453986,1.4464563548453986,1.1707399065623902,0.989787706980675,0.989787706980675,0.9750456498331467,0.989787706980675,0.989787706980675,0.9750456498331467
