TimeStep,Time_s,Porosity,Permeability_mD,k_k0,DissolutionRate,SurfaceArea_cm2,GrainVolume_cm3,InjectedPV,OutletHConc,Tortuosity,PoreVolumeToSurface_m,C_molL,pH,Lambda_m,L_abs,RE_abs,TTM_abs,valid_poroelastic
1,0.1,0.545,18827.4347295717,1.0,5.35734968484207e-09,0.74663784059448,0.0010917577054634,0.00305753759582957,0.0,1.21863423537651,1.7514646431934588e-05,0.0010001,7.0,1.823142881860567e-05,1.2591082491049487e-09,1479561875.2726252,4.1757813991740067e-07,True
2,0.2,0.545,18827.4347295717,1.0,5.3573496848338e-09,0.746637248134772,0.00109175568734088,0.00611507519165915,2.22044604925031e-16,1.21863423537651,1.7514627953893716e-05,0.0010001,7.0,1.823142881860567e-05,1.2591082491049487e-09,1479561875.2726252,4.1757813991740067e-07,True
3,0.4,0.545,18827.4347295717,1.0,5.35735393591454e-09,0.746634653321433,0.00109174746964216,0.0122301503833183,2.22044604925031e-16,1.21863398459518,1.751455698935249e-05,0.0010001,7.0,1.8231426942693248e-05,1.2591086377804992e-09,1479562177.2531288,4.1743841765213764e-07,True
4,0.8,0.545,18827.4347295717,1.0,5.35737255457211e-09,0.746624983092363,0.00109171873055463,0.0244603007666366,2.22044604925031e-16,1.21863398459518,1.751432277854e-05,0.0010001,7.0,1.8231426942693248e-05,1.2591086377804992e-09,1479562177.2531288,4.1743841765213764e-07,True
5,1.6,0.545,18827.4347295717,1.0,5.35744194284903e-09,0.746596042206294,0.0010916349134465,0.0489206015332732,2.22044604925031e-16,1.2186338597214,1.7513656979211976e-05,0.0010001,7.0,1.8231426008603403e-05,1.2591088313172497e-09,1479562340.9056044,4.1761094743661514e-07,True
6,3.2,0.5451,18833.8181813924,1.00033905053516,5.35764961756065e-09,0.74652598297099,0.00109142680760839,0.0978412030665464,2.22044604925031e-16,1.21871261371758,1.751902506109303e-05,0.0010001,7.0,1.8233432910431657e-05,1.2591198676372764e-09,1479409268.669072,4.1758257979757257e-07,True
7,6.4,0.54545,18923.4850388429,1.00510161424808,5.3581524169867e-09,0.746380978137227,0.00109095992529847,0.195682406133093,2.22044604925031e-16,1.21822216091196,1.7539674078338106e-05,0.0010001,7.0,1.8267244006151798e-05,1.2581024381733699e-09,1477225285.5552242,4.166924529262585e-07,True
8,12.8,0.54565,18974.5653238366,1.00781469150621,5.35919338403109e-09,0.746105434675064,0.00108996386655654,0.391364812266185,2.22044604925031e-16,1.21910831589282,1.7544278977433294e-05,0.0010001,7.0,1.8295179698464032e-05,1.2557284091113552e-09,1474554267.7480967,4.1532498763436333e-07,True
9,25.6,0.5465,19083.7851282926,1.01361579006397,5.36117258245394e-09,0.745577304402734,0.00108786112084215,0.782729624532371,2.22044604925031e-16,1.22071961746299,1.7583027330026928e-05,0.0010001,7.0,1.8345596297331538e-05,1.252572445208315e-09,1470023414.5546083,4.136537780086272e-07,True
10,51.2,0.5486,19407.8067693067,1.03082586916758,5.36497017328636e-09,0.744270654810137,0.00108301227551588,1.56545924906474,2.22044604925031e-16,1.22119785160067,1.7684660700605055e-05,0.0010001,7.0,1.8468857845640457e-05,1.2485040634015566e-09,1461211988.6621263,4.108608915532884e-07,True
11,102.4,0.5527,19802.5074415921,1.0517899929558,5.37438897281307e-09,0.741389249259063,0.00107292825488477,3.13091849812948,2.22044604925031e-16,1.22660304735036,1.7881953639535283e-05,0.0010001,7.0,1.862747866101359e-05,1.2416274473109072e-09,1447758136.0135963,4.077467890177788e-07,True
12,204.8,0.56015,20513.3814918231,1.08954734335652,5.39527650825465e-09,0.736232471322314,0.00105476065086654,6.26183699625897,2.22044604925031e-16,1.2301251315222,1.8244782716752818e-05,0.0010001,7.0,1.8859396814894152e-05,1.239329580942726e-09,1431596779.4648988,4.0678796685269635e-07,True
13,409.6,0.5718,21430.1443872753,1.13824026985554,5.43306653238993e-09,0.727287660980492,0.00102542060476674,12.5236739925179,2.22044604925031e-16,1.2319199734279,1.8827528274215623e-05,0.0010001,7.0,1.9092746923624726e-05,1.2478213879254942e-09,1417789187.8500533,4.1289976872219416e-07,True
14,819.2,0.58865,22801.1420343216,1.21105941206682,5.49988706615399e-09,0.711945451938183,0.000985858525719339,25.0473479850359,2.22044604925031e-16,1.22062746622211,1.9815887285926233e-05,0.0010001,7.0,1.932092832708488e-05,1.2811643618080217e-09,1411768585.0438905,4.337870283424975e-07,True
15,1269.2,0.6039,24448.1162310331,1.29853676733948,5.61840796806903e-09,0.689540826594245,0.000949984699815983,38.8062671662689,2.22044604925031e-16,1.20379736595142,2.1004715945045894e-05,0.0010001,7.0,1.9615689346261996e-05,1.3127029106333765e-09,1401043317.1517327,4.547311524204769e-07,True
16,1719.2,0.6176,26601.378262903,1.41290508478677,5.80096180781151e-09,0.668058871803423,0.000916832134943034,52.565186347502,2.22044604925031e-16,1.19961590465876,2.2164834600602404e-05,0.0010001,7.0,2.0197900473470525e-05,1.3083272777222317e-09,1362460621.0946672,4.562368992885548e-07,True
17,2169.2,0.63155,29142.1510259923,1.54785563963313,5.98749626541444e-09,0.647827902939616,0.000883516201325213,66.3241055287351,2.22044604925031e-16,1.20661132634772,2.3376745380220844e-05,0.0010001,7.0,2.0966566986488547e-05,1.2813552889436475e-09,1307576650.3606858,4.4707827981173693e-07,True
18,2619.2,0.64575,31134.7397674249,1.65368995907458,6.17447933602322e-09,0.624038606900439,0.000849295749893406,80.0830247099682,2.22044604925031e-16,1.20564024916211,2.4808588071670187e-05,0.0010001,7.0,2.1423280605083147e-05,1.2832660399478959e-09,1276247695.2068198,4.5851097130873617e-07,True
19,3069.2,0.6596,32748.0292035543,1.73937818263249,6.40985983201814e-09,0.596411311231873,0.000817229873099552,93.8419438912013,2.22044604925031e-16,1.18435844849789,2.6551524237869464e-05,0.0010001,7.0,2.1546688683854712e-05,1.3267002337807582e-09,1270687670.2713382,4.99687816602182e-07,True
20,3519.2,0.6743,34099.1326719156,1.81114066582619,6.70678091556825e-09,0.569414975696673,0.000780158159019563,107.600863072434,2.22044604925031e-16,1.1743870324438,2.836541689598972e-05,0.0010001,7.0,2.165396371256331e-05,1.3610066379547303e-09,1257950199.8802443,5.449615967141449e-07,True
21,3969.2,0.6898,35544.2467190168,1.88789642506041,7.02475377487464e-09,0.536862498849846,0.00074348022357536,121.359782253667,2.22044604925031e-16,1.15851985250039,3.079553468689766e-05,0.0010001,7.0,2.171008366553367e-05,1.4077122331785783e-09,1244447792.5656607,6.125588871152089e-07,True
22,4419.2,0.7056,36736.776810598,1.95123644502119,7.45069735463651e-09,0.5124369080947,0.000705515283004197,135.1187014349,2.66142132087097e-16,1.14521715886173,3.299793709596418e-05,0.0010001,7.0,2.169710829581092e-05,1.4575536713341118e-09,1226026531.5381014,7.047877065716858e-07,True
23,4869.2,0.7221,38627.677176229,2.05166969005914,7.80583899551535e-09,0.490301411886434,0.000665694235234662,148.877620616134,5.36064138891596e-16,1.13254520292666,3.527933988695842e-05,0.0010001,7.0,2.187082125262468e-05,1.496346602673108e-09,1182267249.1136458,8.24710343041643e-07,True
