scan,scan_value,Porosity_used,k0_m2,Permeability_mD,Tortuosity,C_molL,pH,eta_Pa_s,K_f_Pa,Lambda_m,debye_d_m,L_abs,R_E_abs,T_TM_abs,RE_EE,TE_TM_TM,minus_TE_TM_TM,RE_Pr_Pr,matrix_cond
electrolyte_concentration_molL,1e-06,0.24,3.9e-13,395.1674866729765,2.3,1e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,3.054718289112674e-07,3.115802929286603e-09,743278435.2639815,4.341573429055865e-05,2.762314161642365e-06,-3.703636285441095e-06,3.703636285441095e-06,-0.05694372083946898,6.780878728824285e+25
electrolyte_concentration_molL,1.1497569953977357e-06,0.24,3.9e-13,395.1674866729765,2.3,1.1497569953977357e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,2.8488405002118633e-07,3.121688328548946e-09,744640785.452101,4.357179066223345e-05,2.7724494967936113e-06,-4.01099492634072e-06,4.01099492634072e-06,-0.05694375564907178,6.767921650205754e+25
electrolyte_concentration_molL,1.3219411484660288e-06,0.24,3.9e-13,395.1674866729765,2.3,1.3219411484660288e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,2.6568381852340496e-07,3.1246334707125873e-09,745296863.2816669,4.364236254793202e-05,2.7773370720874594e-06,-4.344501185222348e-06,4.344501185222348e-06,-0.05694388370680721,6.761678448088247e+25
electrolyte_concentration_molL,1.519911082952933e-06,0.24,3.9e-13,395.1674866729765,2.3,1.519911082952933e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,2.477776183676415e-07,3.124766197350633e-09,745276432.6725959,4.363664795174179e-05,2.7771848054859527e-06,-4.707161632520797e-06,4.707161632520797e-06,-0.05694409173436285,6.760891855667665e+25
electrolyte_concentration_molL,1.747528400007683e-06,0.24,3.9e-13,395.1674866729765,2.3,1.747528400007683e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,2.3107823617241568e-07,3.1222178677259174e-09,744610258.7089473,4.3556604150467136e-05,2.7722221868730285e-06,-5.102355026849332e-06,5.102355026849332e-06,-0.0569443763210127,6.7654929108992095e+25
electrolyte_concentration_molL,2.0092330025650458e-06,0.24,3.9e-13,395.1674866729765,2.3,2.0092330025650458e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,2.15504336446266e-07,3.117121553298105e-09,743329661.8095877,4.339809136466772e-05,2.762694930629781e-06,-5.533859942605526e-06,5.533859942605526e-06,-0.05694474408931171,6.77641135284546e+25
electrolyte_concentration_molL,2.310129700083158e-06,0.24,3.9e-13,395.1674866729765,2.3,2.310129700083158e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,2.0098006543763512e-07,3.1096104804306104e-09,741465226.3144985,4.3176653863618856e-05,2.7488534091680547e-06,-6.005885295754241e-06,6.005885295754241e-06,-0.05694517282198216,6.791548047072219e+25
electrolyte_concentration_molL,2.656087782946684e-06,0.24,3.9e-13,395.1674866729765,2.3,2.656087782946684e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.8743468168394707e-07,3.0998167120964415e-09,739047826.4897954,4.2887497181537345e-05,2.730958449196456e-06,-6.5230830262941495e-06,6.5230830262941495e-06,-0.056945670139415934,6.811996802947954e+25
electrolyte_concentration_molL,3.0538555088334123e-06,0.24,3.9e-13,395.1674866729765,2.3,3.0538555088334123e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.7480221146044e-07,3.0878700540859463e-09,736107685.0756139,4.2528515270080106e-05,2.709272620136896e-06,-7.090573818967147e-06,7.090573818967147e-06,-0.05694624401885325,6.8384765115199665e+25
electrolyte_concentration_molL,3.5111917342151275e-06,0.24,3.9e-13,395.1674866729765,2.3,3.5111917342151275e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.6302112745059469e-07,3.0738971676620095e-09,732673225.8927237,4.21181623223227e-05,2.684050279700252e-06,-7.713943360657007e-06,7.713943360657007e-06,-0.05694686436388209,6.868403757927729e+25
electrolyte_concentration_molL,4.037017258596558e-06,0.24,3.9e-13,395.1674866729765,2.3,4.037017258596558e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.5203404907310041e-07,3.0580208685371113e-09,728772708.9882914,4.1652999313328986e-05,2.6555483068306652e-06,-8.39923157846928e-06,8.39923157846928e-06,-0.056947540563387626,6.902660156913792e+25
electrolyte_concentration_molL,4.641588833612782e-06,0.24,3.9e-13,395.1674866729765,2.3,4.641588833612782e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.4178746300578117e-07,3.0403595911871643e-09,724432936.5695988,4.1134375941942564e-05,2.624015397934263e-06,-9.15288905315438e-06,9.15288905315438e-06,-0.056948273168364344,6.941348171614352e+25
electrolyte_concentration_molL,5.336699231206313e-06,0.24,3.9e-13,395.1674866729765,2.3,5.336699231206313e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.3223146254527222e-07,3.021026997599249e-09,719679372.7727107,4.056387012508025e-05,2.589691997972611e-06,-9.981700014614301e-06,9.981700014614301e-06,-0.05694906351789228,6.984497576419588e+25
electrolyte_concentration_molL,6.1359072734131755e-06,0.24,3.9e-13,395.1674866729765,2.3,6.1359072734131755e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.2331950453298404e-07,3.000131710327071e-09,714535841.2175632,3.9947541278553116e-05,2.5528073419224542e-06,-1.0892645106254724e-05,1.0892645106254724e-05,-0.05694990408149122,7.031296244394569e+25
electrolyte_concentration_molL,7.0548023107186455e-06,0.24,3.9e-13,395.1674866729765,2.3,7.0548023107186455e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.1500818266344131e-07,2.9777771509841803e-09,709025087.6580368,3.928095664528054e-05,2.513582874642435e-06,-1.1892679240762252e-05,1.1892679240762252e-05,-0.05695080786405003,7.082668919288823e+25
electrolyte_concentration_molL,8.111308307896873e-06,0.24,3.9e-13,395.1674866729765,2.3,8.111308307896873e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.0725701607088207e-07,2.9540614668624987e-09,703167687.4024923,3.857274463747163e-05,2.472223983034846e-06,-1.2988404234203643e-05,1.2988404234203643e-05,-0.05695175960621733,7.1371166149418185e+25
electrolyte_concentration_molL,9.3260334688322e-06,0.24,3.9e-13,395.1674866729765,2.3,9.3260334688322e-06,7.0,0.001,2220000000.0,5.468089245796927e-06,1.0002825216441193e-07,2.9290775300797807e-09,696983261.704125,3.781767230538252e-05,2.428928335478605e-06,-1.4185576887267454e-05,1.4185576887267454e-05,-0.05695277434430967,7.195482873427689e+25
electrolyte_concentration_molL,1.072267222010323e-05,0.24,3.9e-13,395.1674866729765,2.3,1.072267222010323e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,9.328668275140925e-08,2.9029129954260754e-09,690489609.6572809,3.7014171326889784e-05,2.383879505223321e-06,-1.5488410316068863e-05,1.5488410316068863e-05,-0.056953858429897114,7.257831740269407e+25
electrolyte_concentration_molL,1.2328467394420658e-05,0.24,3.9e-13,395.1674866729765,2.3,1.2328467394420658e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,8.699947255359742e-08,2.875650404816064e-09,683702709.4463947,3.616317641123911e-05,2.3372469745217073e-06,-1.6898598520215617e-05,1.6898598520215617e-05,-0.05695500952334877,7.32353655934203e+25
electrolyte_concentration_molL,1.4174741629268048e-05,0.24,3.9e-13,395.1674866729765,2.3,1.4174741629268048e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,8.113599928055979e-08,2.847367327906771e-09,676636925.9030123,3.526470402196361e-05,2.2891876474773935e-06,-1.841399850068137e-05,1.841399850068137e-05,-0.056956226204087815,7.391850481464987e+25
electrolyte_concentration_molL,1.6297508346206434e-05,0.24,3.9e-13,395.1674866729765,2.3,1.6297508346206434e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,7.566770448176457e-08,2.8181365299730794e-09,669305515.8587874,3.430618720882389e-05,2.239849367794989e-06,-2.0026898979950412e-05,2.0026898979950412e-05,-0.056957536603609846,7.46439129591052e+25
electrolyte_concentration_molL,1.873817422860383e-05,0.24,3.9e-13,395.1674866729765,2.3,1.873817422860383e-05,7.0,0.001,2220000000.0,5.468089245796927e-06,7.056795445066406e-08,2.7880261595271366e-09,661719511.4917028,3.328501967692598e-05,2.189363559444089e-06,-2.172186406348984e-05,2.172186406348984e-05,-0.05695893975117279,7.540501177018122e+25
