scan,metric,min,max,max_over_min,scan_value_at_max
electrolyte_concentration_molL,RE_EE,7.727676288290716e-15,2.7773370720874594e-06,359401321.7525418,1.3219411484660288e-06
electrolyte_concentration_molL,minus_TE_TM_TM,1.1052329380566743e-13,3.2183155718609536e-05,291188894.3085339,5.72236765935022e-05
electrolyte_concentration_molL,L_abs,1.6307039663050078e-11,3.124766197350633e-09,191.62069032253612,1.519911082952933e-06
pH,RE_EE,1.4231119127650512e-10,1.3797595280037594e-06,9695.36911066214,10.0
pH,minus_TE_TM_TM,4.376626899983143e-10,4.139268621271207e-06,9457.668464467806,10.0
pH,L_abs,0.0,2.7827099788808e-09,,10.0
permeability_m2,RE_EE,2.172340463721411e-09,4.30342652351845e-06,1981.0092365292965,6.5332014595937834e-15
permeability_m2,minus_TE_TM_TM,6.592105727329466e-09,1.2438491493133171e-05,1886.8768201890082,9.255215909791354e-15
permeability_m2,L_abs,1.0899266969165795e-10,4.665492384708022e-09,42.805561125411245,9.255215909791354e-15
pore_fluid_bulk_modulus_Pa,RE_EE,5.3789424538438425e-08,5.581505072752853e-07,10.376584469246845,35938136638.04626
pore_fluid_bulk_modulus_Pa,minus_TE_TM_TM,1.450740484005487e-07,1.726426253545054e-06,11.90031072117323,100000000000.0
pore_fluid_bulk_modulus_Pa,L_abs,1.7391937368005003e-09,1.7391937368005003e-09,1.0,10000000.0
porosity,RE_EE,4.4139903175179135e-08,7.455340467081496e-06,168.90251067142808,0.85
porosity,minus_TE_TM_TM,3.545625115209713e-07,1.4436142548431642e-05,40.71536634401854,0.85
porosity,L_abs,4.69221860652451e-10,1.1087786344463376e-08,23.630157233181457,0.85
tortuosity,RE_EE,6.900494915430193e-08,3.826638797325203e-06,55.4545557126411,1.0
tortuosity,minus_TE_TM_TM,4.446871683483597e-07,5.695469939309485e-06,12.807812648301466,1.0
tortuosity,L_abs,5.442221834091889e-10,5.963720138425704e-09,10.958245217177616,1.0
viscosity_Pa_s,RE_EE,4.817515658782456e-12,0.00016462339432558577,34171844.159026876,1e-06
viscosity_Pa_s,minus_TE_TM_TM,1.457906486205794e-11,0.00018669838313563136,12805923.075458322,1.519911082952933e-06
viscosity_Pa_s,L_abs,4.787326331197921e-12,4.499421223421231e-08,9398.609812954513,1e-06
