Porosity_used,k0_m2,Permeability_mD,Tortuosity,OutletHConc,C_molL,pH,eta_Pa_s,K_f_Pa,omega_rad_s,theta_deg,Lambda_m,debye_d_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,RE_energy_proxy,TTM_energy_proxy_abs,matrix_cond,scan,scan_value,RE_abs_norm_to_scan_start,TTM_abs_norm_to_scan_start,RE_energy_proxy_norm_to_scan_start,TTM_energy_proxy_abs_norm_to_scan_start,L_abs_norm_to_scan_start
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,3.054718289112674e-07,3.115802929286603e-09,3.744814265821863e-06,729049763.2432514,-144738643.9187261,743278435.2639815,3.747279627016265e-05,-2.1925225738479285e-05,4.341573429055865e-05,5.524628323284727e+17,1.88492598398839e-09,6.780878728824285e+25,electrolyte_concentration_molL,1e-06,1.0,1.0,1.0,1.0,1.0
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1.191103133283008e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.798958643797659e-07,3.122706925513999e-09,4.121384582202613e-06,732455160.2647074,-135442433.69878533,744872616.3879621,3.8271951333426817e-05,-2.0872202614089317e-05,4.3593475438783125e-05,5.548352146446481e+17,1.9003911008317874e-09,6.766362621987669e+25,electrolyte_concentration_molL,1.191103133283008e-06,1.0021447966849926,1.0040939339418964,1.004294193522805,1.0082046281789134,1.0022158000310297
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1.4187266741165963e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.5646127558182415e-07,3.1250439864088318e-09,4.551001476577687e-06,734570150.0048237,-126419560.67404631,745369177.3873723,3.8908354611520975e-05,-1.9781034027086595e-05,4.364801674482614e-05,5.55575210599128e+17,1.905149365756623e-09,6.7607374543744885e+25,electrolyte_concentration_molL,1.4187266741165963e-06,1.0028128653061867,1.0053501906178286,1.0056336428236041,1.0107290057753044,1.0029658670114752
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1.6898497868124586e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.3498877348118138e-07,3.1230685073227466e-09,5.04295937164036e-06,735466153.1620723,-117719764.2330987,744827768.9091036,3.938741404018025e-05,-1.8658440179112503e-05,4.358331991358745e-05,5.547684053381131e+17,1.899505774690108e-09,6.763775206951005e+25,electrolyte_concentration_molL,1.6898497868124586e-06,1.0020844592976412,1.0038600204687829,1.0041732635658458,1.0077349406955853,1.0023318477455208
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,2.0127853758499383e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,2.153140802131437e-07,3.117041285952831e-09,5.608307726860629e-06,735217620.3629984,-109381075.3208524,743309605.0304853,3.971504444553511e-05,-1.74929988712104e-05,4.3396886579788157e-05,5.52509168930576e+17,1.8832897648189973e-09,6.7763876387765004e+25,electrolyte_concentration_molL,2.0127853758499383e-06,1.0000419355184074,0.9995658783370021,1.0000838727954025,0.9991319451356223,1.0003974438352914
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,2.3974349678010785e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.9728667225774812e-07,3.107224427541023e-09,6.2601861864312925e-06,733899134.3993237,-101431217.93592979,740875314.3708074,3.989964220100923e-05,-1.6316080110182317e-05,4.310679665586905e-05,5.488962314440427e+17,1.8581959179304432e-09,6.796387451025308e+25,electrolyte_concentration_molL,2.3974349678010785e-06,0.996766863157653,0.9928842010911979,0.9935441794891472,0.9858190367765063,0.9972467765323193
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,2.8555923019901063e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.8076862884213818e-07,3.0938771832646887e-09,7.014223833412333e-06,731585285.2342101,-93888151.74399811,737585259.2135533,3.994911257987283e-05,-1.5110589043686048e-05,4.271137433010695e-05,5.440320146091246e+17,1.8242614971665188e-09,6.8247257747346585e+25,electrolyte_concentration_molL,2.8555923019901063e-06,0.9923404530787898,0.9837763895518202,0.9847395748166178,0.9678159846396148,0.9929630510916381
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,3.401304938279253e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.656335767617133e-07,3.0772526553643005e-09,7.889014826049819e-06,728348187.2190648,-86761748.75323597,733497568.4158862,3.9871648747136596e-05,-1.3887227613819016e-05,4.222088896047852e-05,5.380186828720176e+17,1.7826034646130568e-09,6.860499774202821e+25,electrolyte_concentration_molL,3.401304938279253e-06,0.9868409113139122,0.9724789791165649,0.9738549842428726,0.9457153648235963,0.9876274993004358
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,4.051304969235378e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.5176572354728872e-07,3.05759528074858e-09,8.90668503668491e-06,724257236.04617,-80054706.2987226,728668168.6239713,3.967544694749589e-05,-1.263904435712515e-05,4.163996316935136e-05,5.3095729996581235e+17,1.733886532744938e-09,6.9036776262619155e+25,electrolyte_concentration_molL,4.051304969235378e-06,0.9803434810606053,0.9590984432205387,0.9610733408580253,0.919869823788061,0.9813185718548155
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,4.825522042741279e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.3905897158139593e-07,3.0351389940245168e-09,1.009356710611235e-05,719377671.4971303,-73763988.25168997,723149611.2226214,3.936829556693379e-05,-1.1387203924468592e-05,4.0982082780928686e-05,5.2294536021142854e+17,1.6795311090628915e-09,6.952672272955851e+25,electrolyte_concentration_molL,4.825522042741279e-06,0.9729188644707403,0.9439454025275072,0.9465711168430345,0.8910329229528178,0.9741113487942721
