file,authors,year,title,doi,category,status,pdf_ok,pages,bytes
2007_Revil_Linde_Cerepi_electrokinetic_coupling_unsaturated_porous_media.pdf,Revil et al.,2007,Electrokinetic coupling in unsaturated porous media,10.1016/j.jcis.2007.03.037,theory/electrokinetic coupling,present,yes,45,816318
2010_Jardani_Revil_Slob_Sollner_stochastic_joint_inversion_Geophysics.pdf,Jardani et al.,2010,Stochastic joint inversion of 2D seismic and seismoelectric signals in linear poroelastic materials,10.1190/1.3279833,joint inversion,present,yes,13,720998
2010_Revil_Jardani_seismoelectric_response_heavy_oil_reservoirs.pdf,Revil & Jardani,2010,Seismoelectric response of heavy oil reservoirs: theory and numerical modelling,10.1111/j.1365-246X.2009.04439.x,heavy oil/reservoir response,present,yes,17,538557
2012_Araji_Revil_Jardani_Minsley_crosshole_seismoelectric_tomography_GJI.pdf,Araji et al.,2012,Imaging with cross-hole seismoelectric tomography,10.1111/j.1365-246X.2011.05325.x,cross-hole tomography,present,yes,18,4920844
2012_Sava_Revil_virtual_electrode_current_injection.pdf,Sava & Revil,2012,Virtual electrode current injection using seismic focusing and seismoelectric conversion,10.1111/j.1365-246X.2012.05700.x,seismic focusing/virtual electrode,present,yes,5,911076
2013_Mahardika_Revil_water_oil_boundary_SEG.pdf,Mahardika & Revil,2013,Seismoelectric conversion generated from water-oil boundary in unsaturated porous media,10.1190/segam2013-0649.1,water-oil boundary,present,yes,6,779889
2013_Revil_Mahardika_coupled_hydromechanical_electromagnetic_unsaturated.pdf,Revil & Mahardika,2013,Coupled hydromechanical and electromagnetic disturbances in unsaturated porous materials,10.1002/wrcr.20092,unsaturated coupled theory,present,yes,23,9554917
2014_Revil_Barnier_Karaoulis_Sava_unsaturated_porous_media.pdf,Revil et al.,2014,Seismoelectric coupling in unsaturated porous media,10.1093/gji/ggt440,saturation front localization,present,yes,18,8985744
2014_Sava_Revil_Karaoulis_crosswell_resistivity_seismoelectric_focusing.pdf,Sava et al.,2014,High definition cross-well electrical resistivity imaging using seismoelectric focusing and image-guided inversion,10.1093/gji/ggu166,seismoelectric focusing/resistivity imaging,present,yes,15,4874045
2015_ElKhoury_Revil_Sava_seismoelectric_beamforming_sensitivity.pdf,El Khoury et al.,2015,Seismoelectric beamforming imaging: a sensitivity analysis,10.1093/gji/ggv117,beamforming sensitivity,present,yes,20,9811668
2015_Jardani_Revil_two_immiscible_fluid_phases.pdf,Jardani & Revil,2015,Seismoelectric couplings in a poroelastic material containing two immiscible fluid phases,10.1093/gji/ggv176,two immiscible fluids,present,yes,21,1718991
2015_Revil_Jardani_Sava_Haas_The_Seismoelectric_Method_book.pdf,Revil et al.,2015,The Seismoelectric Method: Theory and applications,10.1002/9781118660270,book/theory and applications,present,yes,298,50943144
2020_Grobbe_Revil_microscale_origin_seismoelectric_effect_ch1.pdf,Grobbe & Revil,2020,The Microscale Origin of the Seismoelectric Effect,10.1002/9781119127383.ch1,book chapter/microscale origin,present,yes,7,302510
2020_Grobbe_et_al_Seismoelectric_Exploration_full_book.pdf,"Grobbe, Revil, Zhu & Slob",2020,"Seismoelectric Exploration: Theory, Experiments, and Applications",10.1002/9781119127383,full monograph,present,yes,472,65444980
